Date,Invoice_No_,Staff,Customer_Name,Phone,Status,Area,Table_No_,Item_Name,Sum_of_Sub_Total,Quantity
2024-10-02,10731,TD,,,Success,Dine in,4,Bottled Water,0.0,2.0
2024-10-02,10734,MK,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-02,10735,TD,,,Success,Dine in,11,Bottled Water,0.0,2.0
2024-10-02,10736,TD,,,Success,Garden Table,G 3,Bottled Water,0.0,2.0
2024-10-02,10737,TD,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-02,10737,TD,,,Success,Dine in,15,Bottled Water,0.0,3.0
2024-10-02,10738,MK,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-02,10739,TD,,,Success,Garden Table,G 1,Bottled Water,0.0,1.0
2024-10-02,10739,TD,,,Success,Garden Table,G 1,MALAI KULFI,0.0,1.0
2024-10-02,10740,MK,,,Success,Dine in,20,Bottled Water,0.0,1.0
2024-10-02,10740,MK,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-02,10741,MK,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-02,10742,TD,,,Success,Garden Table,G 4,Bottled Water,0.0,2.0
2024-10-02,10743,TB,,,Success,Personal Dine In Room,PDR 3,Bottled Water,0.0,4.0
2024-10-02,10744,TD,,,Success,Dine in,9,Bottled Water,0.0,2.0
2024-10-02,10744,TD,,,Success,Dine in,9,Bottled Water,0.0,4.0
2024-10-02,10745,MK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-02,10746,MK,,,Success,Dine in,22,Bottled Water,0.0,2.0
2024-10-02,10748,MK,,,Success,Dine in,30,Bottled Water,0.0,2.0
2024-10-02,10749,MK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-02,10762,MK,,,Success,Garden Table,G 1,Bottled Water,0.0,3.0
2024-10-02,10764,TD,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-02,10766,TD,,,Success,Dine in,1,Bottled Water,0.0,2.0
2024-10-02,10767,TD,,,Success,Dine in,2,Bottled Water,0.0,2.0
2024-10-02,10768,SK,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-02,10770,SK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-02,10772,SK,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-02,10773,TD,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-02,10774,MK,,,Success,Garden Table,G 5,Bottled Water,0.0,2.0
2024-10-02,10775,MK,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-02,10777,SK,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-02,10778,SK,,,Success,Dine in,4,Bottled Water,0.0,2.0
2024-10-02,10779,SK,,,Success,Dine in,11,Bottled Water,0.0,2.0
2024-10-02,10780,TD,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-02,10781,TD,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-02,10782,TD,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-02,10783,SK,,,Success,Dine in,9,Bottled Water,0.0,4.0
2024-10-02,10784,MK,,,Success,Garden Table,G 1,Bottled Water,0.0,2.0
2024-10-02,10785,TD,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-02,10786,TD,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-02,10787,MK,,,Success,Garden Table,G 2,Bottled Water,0.0,2.0
2024-10-02,10787,MK,,,Success,Garden Table,G 2,Bottled Water,0.0,4.0
2024-10-02,10789,SK,,,Success,Dine in,30,Bottled Water,0.0,4.0
2024-10-02,10791,TD,,,Success,Dine in,15,Bottled Water,0.0,1.0
2024-10-02,10791,TD,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-02,10792,SK,,,Success,Dine in,4,Bottled Water,0.0,2.0
2024-10-02,10793,MK,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-02,10794,TD,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-02,10795,TD,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-02,10796,SK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-02,10797,SK,,,Success,Dine in,11,Bottled Water,0.0,2.0
2024-10-02,10798,SK,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-02,10799,TD,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-02,10800,TD,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-02,10801,SK,,,Success,Dine in,9,Bottled Water,0.0,2.0
2024-10-02,10802,TD,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-03,10805,MK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-03,10807,MK,,,Success,Dine in,10,Bottled Water,0.0,3.0
2024-10-03,10807,MK,,,Success,Dine in,10,Bottled Water,0.0,4.0
2024-10-03,10807,MK,,,Success,Dine in,10,Bottled Water,0.0,2.0
2024-10-03,10808,SM,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-03,10809,MK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-03,10809,MK,,,Success,Dine in,15,Bottled Water,0.0,3.0
2024-10-03,10814,MK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-03,10816,MK,,,Success,Dine in,15,Bottled Water,0.0,1.0
2024-10-03,10817,MK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-03,10820,SK,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-03,10822,MK,,,Success,Dine in,3,Bottled Water,0.0,2.0
2024-10-03,10823,SM,,,Success,Garden Table,G 3,Bottled Water,0.0,4.0
2024-10-03,10824,SK,,,Success,Dine in,4,Bottled Water,0.0,2.0
2024-10-03,10825,SM,,,Success,Garden Table,G 4,Bottled Water,0.0,2.0
2024-10-03,10825,SM,,,Success,Garden Table,G 4,Bottled Water,0.0,1.0
2024-10-03,10826,MK,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-03,10827,MK,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-03,10827,MK,,,Success,Dine in,20,CAKE - N.c,0.0,1.0
2024-10-03,10828,SK,,,Success,Dine in,6,CAKE - N.c,0.0,1.0
2024-10-03,10828,SK,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-03,10829,MK,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-03,10830,SK,,,Success,Dine in,11,Bottled Water,0.0,1.0
2024-10-03,10831,SK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-03,10832,SK,,,Success,Dine in,30,Bottled Water,0.0,4.0
2024-10-03,10833,SM,,,Success,Garden Table,G 2,ANGOORI RABDI,0.0,1.0
2024-10-03,10833,SM,,,Success,Garden Table,G 2,MILLENNIUM KULFI,0.0,1.0
2024-10-03,10833,SM,,,Success,Garden Table,G 2,Bottled Water,0.0,3.0
2024-10-03,10833,SM,,,Success,Garden Table,G 2,MALAI KULFI,0.0,1.0
2024-10-03,10834,SK,,,Success,Dine in,12,Soda,0.0,1.0
2024-10-03,10834,SK,,,Success,Dine in,12,Bottled Water,0.0,2.0
2024-10-03,10836,MK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-03,10837,SK,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-03,10838,MK,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-03,10839,MK,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-03,10840,SK,,,Success,Dine in,14,Bottled Water,0.0,1.0
2024-10-03,10842,MK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-03,10844,MK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-03,10845,SM,,,Success,Garden Table,G 1,CAKE - N.c,0.0,1.0
2024-10-03,10845,SM,,,Success,Garden Table,G 1,Bottled Water,0.0,3.0
2024-10-03,10846,MK,,,Success,Dine in,2,Bottled Water,0.0,2.0
2024-10-03,10847,SK,,,Success,Dine in,9,Bottled Water,0.0,5.0
2024-10-03,10847,SK,,,Success,Dine in,9,Soda,0.0,1.0
2024-10-03,10847,SK,,,Success,Dine in,9,Bottled Water,0.0,2.0
2024-10-03,10849,MK,,,Success,Personal Dine In Room,PDR 4,Bottled Water,0.0,4.0
2024-10-03,10850,MK,,,Success,Dine in,20,Bottled Water,0.0,2.0
2024-10-03,10851,SK,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-04,10853,TD,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-04,10854,TD,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-04,10855,SM,,,Success,Dine in,12,Bottled Water,0.0,2.0
2024-10-04,10856,TD,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-04,10857,TD,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-04,10858,TD,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-04,10859,SM,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-04,10860,MK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-04,10863,MK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-04,10865,TD,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-04,10868,TD,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-04,10869,SM,,,Success,Dine in,3,Bottled Water,0.0,2.0
2024-10-04,10870,TD,,,Success,Dine in,12,Bottled Water,0.0,2.0
2024-10-04,10871,TD,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-04,10872,SM,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-04,10873,SM,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-04,10874,SM,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-04,10877,TD,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-04,10878,MK,,,Success,Garden Table,G 2,Bottled Water,0.0,3.0
2024-10-04,10879,SM,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-04,10881,SM,,,Success,Dine in,20,Bottled Water,0.0,4.0
2024-10-04,10882,MK,,,Success,Garden Table,G 5,Bottled Water,0.0,2.0
2024-10-04,10883,TD,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-04,10884,SM,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-04,10885,MK,,,Success,Garden Table,G 1,Bottled Water,0.0,3.0
2024-10-04,10886,MK,,,Success,Garden Table,G 4,Bottled Water,0.0,3.0
2024-10-04,10886,MK,,,Success,Garden Table,G 4,Soda,0.0,1.0
2024-10-04,10888,SM,,,Success,Dine in,1,Bottled Water,0.0,3.0
2024-10-04,10888,SM,,,Success,Dine in,1,CAKE - N.C,0.0,1.0
2024-10-04,10889,SM,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-04,10890,TD,,,Success,Dine in,9,Bottled Water,0.0,1.0
2024-10-04,10890,TD,,,Success,Dine in,9,Bottled Water,0.0,4.0
2024-10-04,10891,TD,,,Success,Dine in,11,Bottled Water,0.0,2.0
2024-10-04,10892,MK,,,Success,Garden Table,G 3,Bottled Water,0.0,2.0
2024-10-04,10893,SM,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-04,10894,TD,,,Success,Dine in,4,Bottled Water,0.0,2.0
2024-10-04,10894,TD,,,Success,Dine in,4,Soda,0.0,1.0
2024-10-04,10896,TD,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-04,10897,TD,,,Success,Dine in,30,SINGLE TALL CAKE SUNDAE,0.0,2.0
2024-10-04,10897,TD,,,Success,Dine in,30,Bottled Water,0.0,1.0
2024-10-04,10897,TD,,,Success,Dine in,30,ANGOORI RABDI,0.0,0.5
2024-10-04,10897,TD,,,Success,Dine in,30,Bottled Water,0.0,3.0
2024-10-04,10897,TD,,,Success,Dine in,30,MOONGDAL HALWA,0.0,0.5
2024-10-04,10898,TD,,,Success,Dine in,14,Bottled Water,0.0,1.0
2024-10-04,10898,TD,,,Success,Dine in,14,Bottled Water,0.0,4.0
2024-10-05,10901,MK,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-05,10902,TD,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-05,10903,MK,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-05,10904,SM,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-05,10906,SM,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-05,10907,SM,,,Success,Dine in,20,Bottled Water,0.0,1.0
2024-10-05,10907,SM,,,Success,Dine in,20,Bottled Water,0.0,2.0
2024-10-05,10908,MK,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-05,10912,TD,,,Success,Dine in,4,Soda,0.0,1.0
2024-10-05,10912,TD,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-05,10913,MK,,,Success,Dine in,30,Bottled Water,0.0,3.0
2024-10-05,10913,MK,,,Success,Dine in,30,Bottled Water,0.0,1.0
2024-10-05,10913,MK,,,Success,Dine in,30,Bottled Water,0.0,2.0
2024-10-05,10913,MK,,,Success,Dine in,30,Bottled Water,0.0,4.0
2024-10-05,10914,SM,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-05,10915,TD,,,Success,Dine in,14,Bottled Water,0.0,1.0
2024-10-05,10916,SM,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-05,10918,SM,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-05,10919,SK,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-05,10921,SK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-05,10923,SK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-05,10926,SK,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-05,10926,SK,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-05,10927,SK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-05,10928,SM,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-05,10929,SM,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-05,10931,SM,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-05,10932,SK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-05,10933,SK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-05,10934,SM,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-05,10935,SM,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-05,10937,SK,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-05,10938,SK,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-05,10940,TD,,,Success,Garden Table,G 2,Bottled Water,0.0,2.0
2024-10-05,10940,TD,,,Success,Garden Table,G 2,Bottled Water,0.0,1.0
2024-10-05,10941,SM,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-05,10943,SM,,,Success,Dine in,14,Bottled Water,0.0,4.0
2024-10-05,10944,SK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-05,10945,TD,,,Success,Garden Table,G 5,Bottled Water,0.0,2.0
2024-10-05,10946,TD,,,Success,Garden Table,G 3,Bottled Water,0.0,2.0
2024-10-05,10947,SM,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-05,10949,SM,,,Success,Dine in,30,Bottled Water,0.0,4.0
2024-10-05,10950,SK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-05,10951,TD,,,Success,Garden Table,G 4,Bottled Water,0.0,2.0
2024-10-05,10953,SK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-05,10954,SM,,,Success,Dine in,5,Soda,0.0,1.0
2024-10-05,10954,SM,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-05,10955,SK,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-05,10956,SM,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-05,10957,SK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-05,10958,SM,,,Success,Dine in,10,Bottled Water,0.0,5.0
2024-10-05,10959,SK,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-05,10960,SM,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-05,10961,SM,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-05,10964,SK,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-05,10966,SK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-05,10967,SK,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-05,10968,SK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-05,10969,SK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-06,10974,TD,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-06,10977,MK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-06,10983,TD,,,Success,Garden Table,G 1,Bottled Water,0.0,2.0
2024-10-06,10984,MK,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-06,10985,MK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-06,10987,SM,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-06,10987,SM,,,Success,Dine in,14,Bottled Water,0.0,1.0
2024-10-06,10988,MK,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-06,10989,MK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-06,10990,SM,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-06,10991,SM,,,Success,Dine in,9,Bottled Water,0.0,4.0
2024-10-06,10992,MK,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-06,10993,MK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-06,10993,MK,,,Success,Dine in,15,BROWNIE SUNDAE,0.0,1.0
2024-10-06,10994,MK,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-06,10995,SM,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-06,10996,TD,,,Success,Garden Table,G 2,Bottled Water,0.0,4.0
2024-10-06,11007,UU,,,Success,Dine in,B 1,Bottled Water,0.0,1.0
2024-10-06,11007,UU,,,Success,Dine in,B 1,Soda,0.0,1.0
2024-10-06,11008,MK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-06,11010,MK,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-06,11012,MK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-06,11012,MK,,,Success,Dine in,22,Bottled Water,0.0,2.0
2024-10-06,11013,MK,,,Success,Dine in,2,Bottled Water,0.0,3.0
2024-10-06,11014,SK,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-06,11016,MK,,,Success,Dine in,14,Bottled Water,0.0,1.0
2024-10-06,11021,MK,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-06,11022,SK,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-06,11024,MK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-06,11025,MK,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-06,11026,MK,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-06,11027,MK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-06,11028,SK,,,Success,Dine in,7,Soda,0.0,1.0
2024-10-06,11028,SK,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-06,11030,SK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-06,11030,SK,,,Success,Dine in,5,Soda,0.0,1.0
2024-10-06,11031,SK,,,Success,Dine in,9,Bottled Water,0.0,6.0
2024-10-06,11031,SK,,,Success,Dine in,9,Bottled Water,0.0,1.0
2024-10-06,11032,SK,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-06,11032,SK,,,Success,Dine in,14,Bottled Water,0.0,1.0
2024-10-06,11033,MK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-06,11034,MK,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-06,11035,SK,,,Success,Dine in,30,Bottled Water,0.0,2.0
2024-10-06,11036,SK,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-06,11038,MK,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-06,11039,MK,,,Success,Dine in,20,Soda,0.0,1.0
2024-10-06,11039,MK,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-06,11039,MK,,,Success,Dine in,20,CAKE - N.C,0.0,1.0
2024-10-06,11040,MK,,,Success,Dine in,2,Bottled Water,0.0,2.0
2024-10-06,11041,MK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-06,11042,SM,,,Success,Garden Table,G 5,Bottled Water,0.0,2.0
2024-10-06,11042,SM,,,Success,Garden Table,G 5,Bottled Water,0.0,1.0
2024-10-06,11043,MK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-06,11044,MK,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-06,11045,MK,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-06,11046,SK,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-06,11047,SK,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-06,11047,SK,,,Success,Dine in,12,Bottled Water,0.0,2.0
2024-10-06,11049,SM,,,Success,Garden Table,G 2,Bottled Water,0.0,2.0
2024-10-06,11049,SM,,,Success,Garden Table,G 2,Bottled Water,0.0,1.0
2024-10-06,11049,SM,,,Success,Garden Table,G 2,Bottled Water,0.0,3.0
2024-10-06,11049,SM,,,Success,Garden Table,G 2,Bottled Water,0.0,6.0
2024-10-06,11050,SK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-06,11052,SK,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-06,11054,MK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-06,11056,SK,,,Success,Dine in,30,Bottled Water,0.0,3.0
2024-10-07,11057,TD,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-07,11061,SM,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-07,11062,TD,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-07,11063,TD,,,Success,Dine in,2,Bottled Water,0.0,2.0
2024-10-07,11064,SM,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-07,11066,SM,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-07,11076,SM,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-07,11078,SM,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-07,11079,MK,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-07,11081,MK,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-07,11082,MK,,,Success,Dine in,4,Bottled Water,0.0,2.0
2024-10-07,11083,MK,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-07,11086,TD,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-07,11087,TD,,,Success,Dine in,20,Bottled Water,0.0,3.0
2024-10-07,11088,MK,,,Success,Dine in,7,Soda,0.0,1.0
2024-10-07,11088,MK,,,Success,Dine in,7,Bottled Water,0.0,1.0
2024-10-07,11089,SM,,,Success,Garden Table,G 2,Bottled Water,0.0,2.0
2024-10-07,11090,MK,,,Success,Dine in,14,Soda,0.0,1.0
2024-10-07,11090,MK,,,Success,Dine in,14,Bottled Water,0.0,1.0
2024-10-07,11090,MK,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-07,11091,SM,,,Success,Garden Table,G 3,Bottled Water,0.0,2.0
2024-10-07,11092,SM,,,Success,Garden Table,G 4,Bottled Water,0.0,2.0
2024-10-07,11093,TD,,,Success,Dine in,16,Soda,0.0,1.0
2024-10-07,11093,TD,,,Success,Dine in,16,Bottled Water,0.0,1.0
2024-10-07,11095,MK,,,Success,Dine in,30,Bottled Water,0.0,3.0
2024-10-07,11096,TD,,,Success,Dine in,3,Bottled Water,0.0,2.0
2024-10-07,11097,TD,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-07,11101,MK,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-07,11102,MK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-08,11106,SM,,,Success,Dine in,20,Bottled Water,0.0,3.0
