string_field_0,string_field_1
Lacchedar Paratha/Naan,TANDOOR BREADS
Baby Kulcha,TANDOOR BREADS
Butter Baby Kulcha,TANDOOR BREADS
Cheese & Garlic Naan,TANDOOR BREADS
PUDINA PARATHA,TANDOOR BREADS
BUTTER PUDINA PARATHA,TANDOOR BREADS
GARLIC ROTI,TANDOOR BREADS
BUTTER GARLIC ROTI,TANDOOR BREADS
BUTTER GARLIC NAAN,TANDOOR BREADS
ONION KULCHA,TANDOOR BREADS
GARLIC KULCHA,TANDOOR BREADS
BUTTER GARLIC KULCHA,TANDOOR BREADS
ALOO KULCHA,TANDOOR BREADS
ALOO PARATHA,TANDOOR BREADS
Khasta Roti,TANDOOR BREADS
Test,TANDOOR BREADS
LAGAVULIN -16 YEARS,BAR MALT WHISKY
GLENFIDDICH - 18 YEARS,BAR MALT WHISKY
GLENFIDDICH -15 YEARS,BAR MALT WHISKY
GLENLIVET -15 YEARS,BAR MALT WHISKY
GLENMORANGIE - 10 YEARS,BAR MALT WHISKY
TALISKER -10 YEARS,BAR MALT WHISKY
GLENLIVET - 12 YEARS,BAR MALT WHISKY
CARDHU - 12 YEARS,BAR MALT WHISKY
GLENFIDDICH - 12 YEARS,BAR MALT WHISKY
CAOL ILA - 12 YEARS,BAR MALT WHISKY
AMRUT - AMALGAM,BAR MALT WHISKY
SINGLETON,BAR MALT WHISKY
HIBIKI 12 YEARS,BAR MALT WHISKY
LAPHROAIG 10 YEARS,BAR MALT WHISKY
YAMAZAKI,BAR MALT WHISKY
SUNTORY TOKI,BAR MALT WHISKY
TENJAKU,BAR MALT WHISKY
Indri Single Malt,BAR MALT WHISKY
Paul John Bold,BAR MALT WHISKY
Jura 12 Years,BAR MALT WHISKY
Dalmore 12 Years,BAR MALT WHISKY
The Glenlivet 18 Years,BAR MALT WHISKY
Dalmore 15 Years,BAR MALT WHISKY
CIROC,BAR VODKA & GIN
GREY GOOSE,BAR VODKA & GIN
BELVEDERE,BAR VODKA & GIN
ABSOLUT,BAR VODKA & GIN
ABSOLUT FLAVOUR,BAR VODKA & GIN
KETEL ONE,BAR VODKA & GIN
SMIRNOFF,BAR VODKA & GIN
SMIRNOFF FLAVOUR,BAR VODKA & GIN
GORDON'S,BAR VODKA & GIN
BOMBAY SAPPHIRE,BAR VODKA & GIN
MONKEY 47,BAR VODKA & GIN
HENDRICKS,BAR VODKA & GIN
THE BOTANIST,BAR VODKA & GIN
TANQUERAY,BAR VODKA & GIN
BLUE RIBAND,BAR VODKA & GIN
Norm Inida,BAR VODKA & GIN
Beluga,BAR VODKA & GIN
Russian Standard Platinum,BAR VODKA & GIN
Russian Standard Gold,BAR VODKA & GIN
The Source Sav Blanc Reserve,BAR Wine Indian
The Source Sav Blanc Reserve By Glass,BAR Wine Indian
Rasa Syrah,BAR Wine Indian
Rasa Syrah By Glass,BAR Wine Indian
The Source Grenache Rose By Glass,BAR Wine Indian
Indian Red Wine (by Glass),BAR Wine Indian
Indian White Wine (by Glass),BAR Wine Indian
Indian Rose Wine (by Glass),BAR Wine Indian
Vegetable Stew,COASTAL SPECIAL
Vegetable Gassi,COASTAL SPECIAL
Nilgiri Korma,COASTAL SPECIAL
Edemunchi Chicken,COASTAL SPECIAL
Chicken Mallipuram,COASTAL SPECIAL
Mutton Korma,COASTAL SPECIAL
Chicken Korma,COASTAL SPECIAL
Chicken Jeera Masala,COASTAL SPECIAL
Chicken Stew,COASTAL SPECIAL
Chettinad Chicken,COASTAL SPECIAL
Kori Roti,COASTAL SPECIAL
Neer Dosa(4pc),COASTAL SPECIAL
Appam (2pc),COASTAL SPECIAL
Malabari Paratha (1pc),COASTAL SPECIAL
Tomato Rice,COASTAL SPECIAL
Lemon Rice,COASTAL SPECIAL
Coconut Rice,COASTAL SPECIAL
Ghee Rice,COASTAL SPECIAL
Curd Rice,COASTAL SPECIAL
Clams Chilly & Coriander,COASTAL SPECIAL
Chutney Stuffed Pomfret,COASTAL SPECIAL
Clams In Sukha Mangalorian Masala,COASTAL SPECIAL
Bandas (squid) Masala Fry,COASTAL SPECIAL
Prawns Green Fry,COASTAL SPECIAL
CHICKEN GASSI,COASTAL SPECIAL
CHICKEN GHEE ROAST,COASTAL SPECIAL
CHICKEN SUKHA,COASTAL SPECIAL
MUTTON SUKHA,COASTAL SPECIAL
MUTTON GHEE ROAST,COASTAL SPECIAL
EGG GHEE ROAST,COASTAL SPECIAL
EGG GASSI,COASTAL SPECIAL
PLAIN GASSI,COASTAL SPECIAL
Indian Surmai,INDIAN SEA FOOD
Indian Prawns,INDIAN SEA FOOD
Indian Clams,INDIAN SEA FOOD
Indian Pompfret,INDIAN SEA FOOD
Indian Squid,INDIAN SEA FOOD
Indian Prawns REG,INDIAN SEA FOOD
Indian Rawas,INDIAN SEA FOOD
Indian Malwani Bombil Fry,INDIAN SEA FOOD
Indian Crab,INDIAN SEA FOOD
Indian Lobster,INDIAN SEA FOOD
GULAB JAMUN,PANTRY DESSERTS
ANGOORI RABDI,PANTRY DESSERTS
GAJAR HALWA,PANTRY DESSERTS
MOONGDAL HALWA,PANTRY DESSERTS
HOT PUDDING WITH BUTTER SCOTCH SAUCE,PANTRY DESSERTS
CHOCOLATE FONDUE CAKE,PANTRY DESSERTS
APPLE PIE WITH HOT CUSTARD,PANTRY DESSERTS
HONEY NOODLES WITH VANILLA ICE CREAM,PANTRY DESSERTS
VANILLA ICE CREAM,PANTRY DESSERTS
CHOCOLATE ICE CREAM,PANTRY DESSERTS
STRAWERRY ICE CREAM,PANTRY DESSERTS
BUTTER SCOTCH ICE CREAM,PANTRY DESSERTS
MALAI KULFI,PANTRY DESSERTS
MANGO KULFI,PANTRY DESSERTS
KESAR PISTA KULFI,PANTRY DESSERTS
ROASTED ALMOND KULFI,PANTRY DESSERTS
SAHI GULAB KULFI,PANTRY DESSERTS
MILLENNIUM KULFI,PANTRY DESSERTS
FRUIT OVERLOAD ICE CREAM,PANTRY DESSERTS
BAVARIAN CHOCOLATE ICE CREAM,PANTRY DESSERTS
KULFI RABDI FALOODA,PANTRY DESSERTS
SINGLE TALL CAKE SUNDAE,PANTRY DESSERTS
BROWNIE SUNDAE,PANTRY DESSERTS
HOT FUDGE NUT SUNDAE,PANTRY DESSERTS
BLUE BERRY CHEESE CAKE,PANTRY DESSERTS
CREAM CARAMEL,PANTRY DESSERTS
CARAMEL CUSTARD(EGG LESS),PANTRY DESSERTS
CHOCOLATE MOUSSE,PANTRY DESSERTS
BAVARIAN CHOCOLATE CHEESE CAKE (EGG LESS),PANTRY DESSERTS
TIRAMISU,PANTRY DESSERTS
CAKE HALF KG,PANTRY DESSERTS
DOODHI HALWA,PANTRY DESSERTS
CHOCOLATE PASTRY,PANTRY DESSERTS
ASSORTED COOKIES,PANTRY DESSERTS
Creme Bruleé,PANTRY DESSERTS
Subzi Methi Ki Sheek,TANDOOR STARTER
Dingri Lasooni,TANDOOR STARTER
Doodhai Kabab,TANDOOR STARTER
Paneer Ke Shikanje,TANDOOR STARTER
Bhara Hua Aloo,TANDOOR STARTER
Cheese Aur Subz Ki Sheek,TANDOOR STARTER
Mushroom Galauti,TANDOOR STARTER
Subzi Maharaja Sheek,TANDOOR STARTER
Subzi Papdi Sheek,TANDOOR STARTER
Hari Subzi Aur Makai Ki Sheek,TANDOOR STARTER
Subzi Bhara Aloo,TANDOOR STARTER
Subzi Kurkure Kebab,TANDOOR STARTER
Paneer Saffron Tikka,TANDOOR STARTER
Paneer Peri Peri Tikka,TANDOOR STARTER
Subzi Ka Mela,TANDOOR STARTER
Ludhiyani Tangdi,TANDOOR STARTER
Tandoori Chicken,TANDOOR STARTER
Mutton Kebabs,TANDOOR STARTER
Tandoori Platter,TANDOOR STARTER
PANEER TIKKA,TANDOOR STARTER
PANEER MALAI TIKKA,TANDOOR STARTER
PANEER PAHADI TIKKA,TANDOOR STARTER
CHICKEN TIKKA,TANDOOR STARTER
TANDOORI ALOO,TANDOOR STARTER
TANDOORI GOBI,TANDOOR STARTER
TANDOORI BROCCOLI,TANDOOR STARTER
VEG SHEEK KABAB,TANDOOR STARTER
Chicken Kebabs,TANDOOR STARTER
Prawns  REG,COASTAL SEA FOOD
Prawns,COASTAL SEA FOOD
Rawas,COASTAL SEA FOOD
MALWANI BOMBIL FRY,COASTAL SEA FOOD
Pompfret,COASTAL SEA FOOD
Crab,COASTAL SEA FOOD
Lobster,COASTAL SEA FOOD
Clams,COASTAL SEA FOOD
Coastal Surmai,COASTAL SEA FOOD
Coastal Prawns,COASTAL SEA FOOD
Coastal Clams,COASTAL SEA FOOD
Coastal Pompfret,COASTAL SEA FOOD
Coastal Squid,COASTAL SEA FOOD
Coastal Prawns REG,COASTAL SEA FOOD
Coastal Rawas,COASTAL SEA FOOD
Coastal Malwani Bombil Fry,COASTAL SEA FOOD
Coastal Crab,COASTAL SEA FOOD
Coastal Lobster,COASTAL SEA FOOD
Dim Sum,ORIENTAL STARTER
Dragon Roll,ORIENTAL STARTER
Exotic Stir Fried Vegetable,ORIENTAL STARTER
Chilly Crispy Patato,ORIENTAL STARTER
Cottage Cheese With Three Peppers,ORIENTAL STARTER
Crispy Corn,ORIENTAL STARTER
"Brocoli,babycorn Mushroom Sizzle Chilly",ORIENTAL STARTER
Chilly Basil Mushroom,ORIENTAL STARTER
Kung Pao Patato,ORIENTAL STARTER
Teriyaki Veg,ORIENTAL STARTER
Pepper Blast Paneer,ORIENTAL STARTER
Thod Man Khow Phad,ORIENTAL STARTER
Assorted Stir Fried Vegetable Salt & Pepper,ORIENTAL STARTER
Mushroom Babycorn In Red Chilli Flakes,ORIENTAL STARTER
Paneer Babycorn In Red Chilli Flakes,ORIENTAL STARTER
Babycorn In Red Chilli Flakes,ORIENTAL STARTER
Veg Cheesy Roll,ORIENTAL STARTER
Water Chesnut In Sambal Sauce,ORIENTAL STARTER
Paneer Sambal Sauce,ORIENTAL STARTER
Babycorn In Sambal Sauce,ORIENTAL STARTER
Basil Garlic Cheesy Potato,ORIENTAL STARTER
Crispy Spinach Paneer,ORIENTAL STARTER
Tishing Hai Chicken,ORIENTAL STARTER
Pepper Blast Chicken,ORIENTAL STARTER
Kung Pao Chicken,ORIENTAL STARTER
Roast Lamb In Black Peper,ORIENTAL STARTER
Chicken & Mushroom Cheesey Roll,ORIENTAL STARTER
Stir Fried Chicken Chilly & Basil,ORIENTAL STARTER
Steam Chicken With Stir Fried Vegetables,ORIENTAL STARTER
Chicken Pepper Chilly Garlic,ORIENTAL STARTER
Chicken Hoisin,ORIENTAL STARTER
Chicken Drums In Choice Of Sauce,ORIENTAL STARTER
Spicy Chilly Garlic Chicken,ORIENTAL STARTER
Crispy Spinach Chicken,ORIENTAL STARTER
Devil Chicken,ORIENTAL STARTER
Kai Yooung,ORIENTAL STARTER
Shitake Chicken,ORIENTAL STARTER
Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,ORIENTAL STARTER
Mushroom Paneer Babycorn In Red Chilli Flakes,ORIENTAL STARTER
Nam Prick,ORIENTAL STARTER
VEG CRISPY,ORIENTAL STARTER
PANEER CHILLY DRY,ORIENTAL STARTER
VEG MANCHURIAN DRY,ORIENTAL STARTER
KUNG PAO PANEER,ORIENTAL STARTER
KUNG PAO TOFU,ORIENTAL STARTER
PANEER HAKKA STYLE,ORIENTAL STARTER
MUSHROOM HAKKA STYLE,ORIENTAL STARTER
WONTON,ORIENTAL STARTER
Crispy Chicken Chef Style,ORIENTAL STARTER
Chilli Chicken,ORIENTAL STARTER
Juices Fresh,PANTRY APPETISER
Jal Jeera,PANTRY APPETISER
Butter Milk,PANTRY APPETISER
Sol Kadi,PANTRY APPETISER
Kokum Rus,PANTRY APPETISER
Tandoori Surmai,TANDOOR SEA FOOD
Tandoori Prawns  (100 Gms),TANDOOR SEA FOOD
Tandoori Clams,TANDOOR SEA FOOD
Tandoori Pompfret,TANDOOR SEA FOOD
Tandoori Squid,TANDOOR SEA FOOD
Tandoori Prawns REG,TANDOOR SEA FOOD
Tandoori Rawas,TANDOOR SEA FOOD
Tandoori Malwani Bombil Fry,TANDOOR SEA FOOD
Tandoori Crab,TANDOOR SEA FOOD
Tandoori Lobster,TANDOOR SEA FOOD
Tandoori Pomfrate Regular  (400gms),TANDOOR SEA FOOD
Jacobs Creek Chardonnay,BAR Imported Wine
Jacobs Creek Chardonnay By Glass,BAR Imported Wine
Jacobs Cabernet Shiraz,BAR Imported Wine
Jacobs Cabernet Shiraz By Glass,BAR Imported Wine
Barton & Guestier Reserve Merlot,BAR Imported Wine
Barton & Guestier Reserve Merlot By Glass,BAR Imported Wine
Mateus Rose By Glass,BAR Imported Wine
El .Goru Monastrell.Syrah.Petit Verdot,BAR Imported Wine
The Black Shiraz Berton Vineyard,BAR Imported Wine
The Vermentino Berton Vineyard,BAR Imported Wine
Los Vascos Chardonnay,BAR Imported Wine
Casillero Del Diablo Merlot,BAR Imported Wine
Zuccardi Malbec,BAR Imported Wine
Santa Julia Malbec,BAR Imported Wine
Santa Julia Torrontes,BAR Imported Wine
Pampas Del Sur Malbec,BAR Imported Wine
Neserburg Sauvignon Blanc,BAR Imported Wine
Neserburg Shiraz,BAR Imported Wine
GOLD LABEL,BAR SCOTCH WHISKY
CHIVAS REGAL -18 YEARS,BAR SCOTCH WHISKY
BLUE LABEL,BAR SCOTCH WHISKY
BLACK LABEL,BAR SCOTCH WHISKY
CHIVAS REGAL,BAR SCOTCH WHISKY
TEACHER'S 50,BAR SCOTCH WHISKY
BLACK DOG,BAR SCOTCH WHISKY
TEACHER'S ORIGIN,BAR SCOTCH WHISKY
DOUBLE BLACK,BAR SCOTCH WHISKY
MONKEY SHOULDER,BAR SCOTCH WHISKY
TEACHER'S,BAR SCOTCH WHISKY
BLACK & WHITE,BAR SCOTCH WHISKY
100 PIPER,BAR SCOTCH WHISKY
VAT 69,BAR SCOTCH WHISKY
RED LABEL,BAR SCOTCH WHISKY
J & B,BAR SCOTCH WHISKY
BALLANTINES,BAR SCOTCH WHISKY
J W Blonde,BAR SCOTCH WHISKY
Dewars,BAR SCOTCH WHISKY
Macallan 12 Yrs,BAR SCOTCH WHISKY
Chinese Surmai,ORIENTAL SEA FOOD
Chinese Prawns,ORIENTAL SEA FOOD
Chinese Clams,ORIENTAL SEA FOOD
Chinese Pompfret,ORIENTAL SEA FOOD
Chinese Squid,ORIENTAL SEA FOOD
Chinese Prawns REG,ORIENTAL SEA FOOD
Chinese Rawas,ORIENTAL SEA FOOD
Chinese Malwani Bombil Fry,ORIENTAL SEA FOOD
Chinese Crab,ORIENTAL SEA FOOD
Chinese Lobster,ORIENTAL SEA FOOD
Paneer Khurchan,INDIAN MAIN COURSE
Bukhara Kofta Curry,INDIAN MAIN COURSE
Methi Paneer,INDIAN MAIN COURSE
Dum Aloo Amritsari,INDIAN MAIN COURSE
Kumbh Makai Palak,INDIAN MAIN COURSE
Diwani Handi,INDIAN MAIN COURSE
Dum Paneer Kalamiri,INDIAN MAIN COURSE
Peshawari Kofta,INDIAN MAIN COURSE
Mirchi Ka Salan,INDIAN MAIN COURSE
Methi Malai Mutter,INDIAN MAIN COURSE
Kalonji Ka Baigan,INDIAN MAIN COURSE
Pindi Chana,INDIAN MAIN COURSE
Subzi Lahori,INDIAN MAIN COURSE
Bhindi Mirch Masala,INDIAN MAIN COURSE
Phalguni Sabzi,INDIAN MAIN COURSE
Subzi Sunheri,INDIAN MAIN COURSE
Paneer Kofta Hara Masala,INDIAN MAIN COURSE
Chatpata Paneer,INDIAN MAIN COURSE
Subzi Noorani,INDIAN MAIN COURSE
Paneer Lawabdar,INDIAN MAIN COURSE
Moong Dal Aur Methi Ki Subzi,INDIAN MAIN COURSE
Reshmi Paneer,INDIAN MAIN COURSE
Karele Kaju Masala,INDIAN MAIN COURSE
Subzi Kofta Masala,INDIAN MAIN COURSE
Amritsari Dal,INDIAN MAIN COURSE
Dal Tadka,INDIAN MAIN COURSE
Multani Murgh,INDIAN MAIN COURSE
Multani Mutton,INDIAN MAIN COURSE
Murgh Tikhalaal,INDIAN MAIN COURSE
Mutton Tikhalaal,INDIAN MAIN COURSE
Dehati Murg,INDIAN MAIN COURSE
Dehati Lamb,INDIAN MAIN COURSE
Avadhi Chicken,INDIAN MAIN COURSE
Avadhi Lamb,INDIAN MAIN COURSE
Methi Chicken,INDIAN MAIN COURSE
Methi Lamb,INDIAN MAIN COURSE
Tawa Chicken,INDIAN MAIN COURSE
Tawa Lamb,INDIAN MAIN COURSE
Maratha Lamb,INDIAN MAIN COURSE
Maratha Chicken,INDIAN MAIN COURSE
Dhabe Da Murg,INDIAN MAIN COURSE
Dhabe Da Lamb,INDIAN MAIN COURSE
Murgh Bharta Masala,INDIAN MAIN COURSE
Murgh -ka-salan,INDIAN MAIN COURSE
Zafrani Chicken,INDIAN MAIN COURSE
Murg Tikka Nawabi,INDIAN MAIN COURSE
Murg Makhanwala,INDIAN MAIN COURSE
Murg Pudhina Masala,INDIAN MAIN COURSE
Rajasthani Laal Maas,INDIAN MAIN COURSE
Dal Palak Ghost,INDIAN MAIN COURSE
Nalli Kashmiri Rogan,INDIAN MAIN COURSE
Ghost Sofiana,INDIAN MAIN COURSE
Ghost Hara Pyaaz,INDIAN MAIN COURSE
Paneer Tikka Masala,INDIAN MAIN COURSE
LASOONI PALAK,INDIAN MAIN COURSE
PALAK PANEER,INDIAN MAIN COURSE
VEG KADAI,INDIAN MAIN COURSE
PANEER KADAI,INDIAN MAIN COURSE
CHICKEN KADAI,INDIAN MAIN COURSE
VEG KOLHAPURI,INDIAN MAIN COURSE
PANEER MAKHANWALA,INDIAN MAIN COURSE
PANEER BUTTER MASALA,INDIAN MAIN COURSE
MUSHROOM DO PYAZA,INDIAN MAIN COURSE
ALOO JEERA,INDIAN MAIN COURSE
ALOO MUTTER,INDIAN MAIN COURSE
ALOO GOBI,INDIAN MAIN COURSE
LUCKNOWI CHICKEN,INDIAN MAIN COURSE
MUTTON ROGAN JOSH,INDIAN MAIN COURSE
EGG MASALA,INDIAN MAIN COURSE
VEG MAKHANWALA,INDIAN MAIN COURSE
Malai Kofta,INDIAN MAIN COURSE
JACK DANIEL'S,BAR AMERICAN WHISKY
JIM BEAM,BAR AMERICAN WHISKY
JACK DANIELS - APPLE,BAR AMERICAN WHISKY
JACK DANIELS - HONEY,BAR AMERICAN WHISKY
JACK DANIELS - FIRE,BAR AMERICAN WHISKY
BACARDI BREEZER,BAR BEERS & BREEZER
HOEGAARDEN,BAR BEERS & BREEZER
CORONA,BAR BEERS & BREEZER
HEINEKEN,BAR BEERS & BREEZER
BUDWEISER,BAR BEERS & BREEZER
BIRA 91,BAR BEERS & BREEZER
CARLSBERG,BAR BEERS & BREEZER
KINGFISHER ULTRA,BAR BEERS & BREEZER
KINGFISHER STRONG,BAR BEERS & BREEZER
KINGFISHER,BAR BEERS & BREEZER
Heineken Silver,BAR BEERS & BREEZER
Budweiser Magnum,BAR BEERS & BREEZER
Kingfisher Ultra Max,BAR BEERS & BREEZER
ANTIQUITY BLUE,BAR DOMESTIC WHISKY
ROYAL CHALLENGE,BAR DOMESTIC WHISKY
BLENDER'S PRIDE,BAR DOMESTIC WHISKY
SIGNATURE,BAR DOMESTIC WHISKY
SAUZA (GOLD),BAR TEQUILA & COGNAC
SAUZA (SILVER),BAR TEQUILA & COGNAC
JOSE COERO (GOLD),BAR TEQUILA & COGNAC
JOSE COERO (SILVER),BAR TEQUILA & COGNAC
SIEMPRE REPOSADO,BAR TEQUILA & COGNAC
SIEMPRE SILVER,BAR TEQUILA & COGNAC
XO,BAR TEQUILA & COGNAC
VSOP,BAR TEQUILA & COGNAC
VS,BAR TEQUILA & COGNAC
PISCO,BAR TEQUILA & COGNAC
PISCO ACHOLADO,BAR TEQUILA & COGNAC
PISCO MOSTO VERDE,BAR TEQUILA & COGNAC
Brandy,BAR TEQUILA & COGNAC
"Tofu,babycorn,mushroom,broccoli In Lemon & Paper Sauce",ORIENTAL MAIN COURSE
Three Treasure Vegetables In Choice Of Sauce,ORIENTAL MAIN COURSE
Exotic Veg In Sambal Oelek Sauce,ORIENTAL MAIN COURSE
Cottage Cheese & Mushroom In Black Bean Sauce,ORIENTAL MAIN COURSE
Vegetables In Chilly Mustard Sauce/green Garlic Sauce,ORIENTAL MAIN COURSE
Exotic Hot Pot Vegtable,ORIENTAL MAIN COURSE
Spice Corn Ball In Choice Of Sauce,ORIENTAL MAIN COURSE
Veg Barbeque Sauce,ORIENTAL MAIN COURSE
Chicken In Chilly Mustard Sauce,ORIENTAL MAIN COURSE
Chicken Clay Pot,ORIENTAL MAIN COURSE
Chicken In Malaysian Curry,ORIENTAL MAIN COURSE
Chicken In Chilly Soya,ORIENTAL MAIN COURSE
Chicken & Mushroom In Oyster Sauce,ORIENTAL MAIN COURSE
Chicken Hunan,ORIENTAL MAIN COURSE
Chicken In Szechwan Style,ORIENTAL MAIN COURSE
Shredded Chicken In Mixed Pepper,ORIENTAL MAIN COURSE
Chicken Barbeque Sauce,ORIENTAL MAIN COURSE
Chicken Samble Oelek Sauce,ORIENTAL MAIN COURSE
Roast Lamb In Hongkong Style,ORIENTAL MAIN COURSE
Roast Lamb In Honey And Ginger,ORIENTAL MAIN COURSE
Lamb In Burnt Chilly Sauce,ORIENTAL MAIN COURSE
THAI CURRY GREEN,ORIENTAL MAIN COURSE
THAI CURRY RED,ORIENTAL MAIN COURSE
Long Island Ice Tea,BAR CLASSIC COCKTAILS
Margarita,BAR CLASSIC COCKTAILS
Bloody Mary,BAR CLASSIC COCKTAILS
Pina Colada,BAR CLASSIC COCKTAILS
Planters Punch,BAR CLASSIC COCKTAILS
Screw Driver,BAR CLASSIC COCKTAILS
Whisky Sour,BAR CLASSIC COCKTAILS
