ItemName,RawMaterial,Qty,Unit,Department
Lemon Coriander Soup,Salt Tata,2.0,GM,
OMELETTE SANDWICH,Salt Tata,2.0,GM,
Thai FRIDE Rice,Salt Tata,2.0,GM,
ALOO PARATHA,Salt Tata,2.0,GM,
Chinese Surmai,Salt Tata,2.0,GM,
GREEN PEPPER NOODLES,Salt Tata,2.0,GM,
Kung Pao Chicken,Salt Tata,2.0,GM,
VEG FRIED RICE,Salt Tata,2.0,GM,
Pepper Blast Paneer,Salt Tata,2.0,GM,
SHANGHAI NOODLES,Salt Tata,2.0,GM,
Chicken In Chilly Mustard Sauce,Salt Tata,2.0,GM,
Green Pepper Crab Soup,Salt Tata,2.0,GM,
Lemon coriander soup,Salt Tata,2.0,GM,
Stuffed Kulcha,Salt Tata,2.0,GM,
Teriyaki Veg,Salt Tata,2.0,GM,
Naan,Salt Tata,2.0,GM,
"Water Chesnut, PANEER, BABY CORN, BROCOLLI In Sambal Sauce",Salt Tata,2.0,GM,
CHI,Salt Tata,2.0,GM,
Steam Chicken With Stir Fried Vegetables,Salt Tata,2.0,GM,
Suimono Soup,Salt Tata,2.0,GM,
Talumein Soup,Salt Tata,2.0,GM,
Tandoori Squid,Salt Tata,2.0,GM,
Cheese & Garlic Naan,Salt Tata,2.0,GM,
Chinese Lobster,Salt Tata,2.0,GM,
Dim Sum,Salt Tata,2.0,GM,
Chilli Chicken,Salt Tata,2.0,GM,
Chinese Prawns,Salt Tata,2.0,GM,
GARLIC KULCHA,Salt Tata,2.0,GM,
Mushroom Paneer Babycorn In Red Chilli Flakes,Salt Tata,2.0,GM,
Nilgiri Korma,Salt Tata,2.0,GM,
Paratha Stuffed,Salt Tata,2.0,GM,
Pompfret TAWA,Salt Tata,2.0,GM,
Tandoori Crab,Salt Tata,2.0,GM,
Three Treasure Vegetables In Choice Of Sauce,Salt Tata,2.0,GM,
HOT POT RICE,Salt Tata,2.0,GM,
Prawns TAWA,Salt Tata,2.0,GM,
BURNT GARLIC NOODLES CHICKEN / VEG,Salt Tata,2.0,GM,
Sour & Pepper Soup,Salt Tata,2.0,GM,
Veg Barbeque Sauce,Salt Tata,2.0,GM,
Chinese Clams,Salt Tata,2.0,GM,
Funci Tongi Soup,Salt Tata,2.0,GM,
Garlic Naan,Salt Tata,2.0,GM,
"Mushroom,PANEER, Babycorn In Red Chilli Flakes",Salt Tata,2.0,GM,
Roomali Roti,Salt Tata,2.0,GM,
Thod Man Khow Phad,Salt Tata,2.0,GM,
Tishing Hai Chicken,Salt Tata,2.0,GM,
YANMEIN NOODLES,Salt Tata,2.0,GM,
Oriental Noodles CHICKEN /VEG,Salt Tata,2.0,GM,
Roast Lamb In Black Peper,Salt Tata,2.0,GM,
Veg Cheesy Roll,Salt Tata,2.0,GM,
CHICKEN & MUSHROOM Cheesy Roll,Salt Tata,2.0,GM,
Chicken Clay Pot,Salt Tata,2.0,GM,
Chicken Pepper Chilly Garlic,Salt Tata,2.0,GM,
Chicken Samble Oelek Sauce,Salt Tata,2.0,GM,
Tandoori Pomfrate Regular (400gms),Salt Tata,2.0,GM,
Tandoori Prawns REG,Salt Tata,2.0,GM,
Chicken Hoisin,Salt Tata,2.0,GM,
Chicken In Chilly Soya,Salt Tata,2.0,GM,
Tom Kha Soup,Salt Tata,2.0,GM,
BURNT GARLIC RICE,Salt Tata,2.0,GM,
Kai Yooung,Salt Tata,2.0,GM,
Stir Fried Chicken Chilly & Basil,Salt Tata,2.0,GM,
Tandoori Lobster,Salt Tata,2.0,GM,
BUTTER GARLIC NAAN,Salt Tata,2.0,GM,
Devil Chicken,Salt Tata,2.0,GM,
Methi Roti,Salt Tata,2.0,GM,
SHANGHAI RICE,Salt Tata,2.0,GM,
WONTON STEAM /FRY,Salt Tata,2.0,GM,
Missi Roti,Salt Tata,2.0,GM,
PUDINA PARATHA,Salt Tata,2.0,GM,
Seafood Suimono Soup,Salt Tata,2.0,GM,
Sweet Corn Soup,Salt Tata,2.0,GM,
SZECHWAN VEG FRIED RICE,Salt Tata,2.0,GM,
Tandoori Rawas,Salt Tata,2.0,GM,
BUTTER GARLIC ROTI,Salt Tata,2.0,GM,
Paratha Plain,Salt Tata,2.0,GM,
VEG MANCHURIAN DRY,Salt Tata,2.0,GM,
"Brocoli,babycorn Mushroom Sizzle Chilly",Salt Tata,2.0,GM,
Roast Lamb In Hongkong Style,Salt Tata,2.0,GM,
Butter Naan,Salt Tata,2.0,GM,
Exotic Hot Pot Vegtable,Salt Tata,2.0,GM,
MUSHROOM HAKKA STYLE,Salt Tata,2.0,GM,
Butter Paratha,Salt Tata,2.0,GM,
Butter Roti,Salt Tata,2.0,GM,
Chinese Pompfret,Salt Tata,2.0,GM,
EGG BHURJEE,Salt Tata,2.0,GM,
HONG KONG NOODLES,Salt Tata,2.0,GM,
HOT POT NOODLES,Salt Tata,2.0,GM,
Kung Pao Patato,Salt Tata,2.0,GM,
Spicy Crab Soup,Salt Tata,2.0,GM,
Tandoori Surmai,Salt Tata,2.0,GM,
Veg Sweet Corn Soup,Salt Tata,2.0,GM,
HAKKA NOODLES,Salt Tata,2.0,GM,
PAN FRIED NOODLES,Salt Tata,2.0,GM,
Butter Baby Kulcha,Salt Tata,2.0,GM,
Rawas TAWA,Salt Tata,2.0,GM,
Chicken & Mushroom In Oyster Sauce,Salt Tata,2.0,GM,
Chinese Rawas,Salt Tata,2.0,GM,
FORTUNE NOODLES,Salt Tata,2.0,GM,
Crispy Spinach Chicken,Salt Tata,2.0,GM,
AMERICAN CHOPSUEY,Salt Tata,2.0,GM,
Assorted Stir Fried Vegetable Salt & Pepper,Salt Tata,2.0,GM,
Chinese Prawns REG,Salt Tata,2.0,GM,
SPICY LIME NOODLES,Salt Tata,2.0,GM,
BUTTER PUDINA PARATHA,Salt Tata,2.0,GM,
Chicken Barbeque Sauce,Salt Tata,2.0,GM,
CORIANDER VEG NOODLES,Salt Tata,2.0,GM,
Lacchedar Paratha/Naan,Salt Tata,2.0,GM,
Plain Kulcha,Salt Tata,2.0,GM,
SPICY LIME RICE,Salt Tata,2.0,GM,
Tandoori Prawns (100 Gms),Salt Tata,2.0,GM,
Chilly Basil Mushroom,Salt Tata,2.0,GM,
Chinese Crab,Salt Tata,2.0,GM,
Chicken In Szechwan Style,Salt Tata,2.0,GM,
Nam Prick PANEER,Salt Tata,2.0,GM,
Baby Kulcha,Salt Tata,2.0,GM,
FORTUNE RICE,Salt Tata,2.0,GM,
Chicken In Malaysian Curry,Salt Tata,2.0,GM,
Crispy Chicken Chef Style,Salt Tata,2.0,GM,
Exotic Veg In Sambal Oelek Sauce,Salt Tata,2.0,GM,
Manchow Soup,Salt Tata,2.0,GM,
ALOO KULCHA,Salt Tata,2.0,GM,
Malysian Soup,Salt Tata,2.0,GM,
OMELETTE,Salt Tata,2.0,GM,
Seafood Combo Soup,Salt Tata,2.0,GM,
Butter Kulcha,Salt Tata,2.0,GM,
THAI HERB RICE,Salt Tata,2.0,GM,
VEG CRISPY,Salt Tata,2.0,GM,
Vegetables In Chilly Mustard Sauce,Salt Tata,2.0,GM,
Vegetables Ingreen Garlic Sauce,Salt Tata,2.0,GM,
Fragrance Rice,Salt Tata,2.0,GM,
Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Salt Tata,2.0,GM,
Roti,Salt Tata,2.0,GM,
THAI CURRY RED,Salt Tata,2.0,GM,
Burnt Garlic Soup,Salt Tata,2.0,GM,
Chicken Hunan,Salt Tata,2.0,GM,
SZECHWAN NOODLE,Salt Tata,2.0,GM,
THAI CURRY GREEN,Salt Tata,2.0,GM,
Prawns Tom Yum Soup,Salt Tata,2.0,GM,
Shitake Chicken,Salt Tata,2.0,GM,
KUNG PAO TOFU,Salt Tata,2.0,GM,
Roast Lamb In Honey And Ginger,Salt Tata,2.0,GM,
Seafood Creamy Corn Soup,Salt Tata,2.0,GM,
BUTTER GARLIC KULCHA,Salt Tata,2.0,GM,
Wonton & Noodle Soup,Salt Tata,2.0,GM,
Chilly Crispy Patato,Salt Tata,2.0,GM,
Cottage Cheese With Three Peppers,Salt Tata,2.0,GM,
MALAYSIAN VEG/CHICKEN NOODLES,Salt Tata,2.0,GM,
PANEER HAKKA STYLE,Salt Tata,2.0,GM,
Ludhiyani Tangdi,Salt Tata,2.0,GM,
Prawns Tom Kha Soup,Salt Tata,2.0,GM,
Spicy Chilly Garlic Chicken,Salt Tata,2.0,GM,
Tandoori Pompfret,Salt Tata,2.0,GM,
CLEAR SOUP,Salt Tata,2.0,GM,
Spice Corn Ball In Choice Of Sauce,Salt Tata,2.0,GM,
FUTCHI NOODLES,Salt Tata,2.0,GM,
FUTCHI RICE,Salt Tata,2.0,GM,
GARLIC ROTI,Salt Tata,2.0,GM,
Pepper Blast Chicken,Salt Tata,2.0,GM,
"Tofu,babycorn,mushroom,broccoli In Lemon & Paper Sauce",Salt Tata,2.0,GM,
Crispy Spinach Paneer,Salt Tata,2.0,GM,
Mustard Soup,Salt Tata,2.0,GM,
HOT POT RICE,Star Fool,2.0,GM,
HOT POT NOODLES,Star Fool,2.0,GM,
SZECHWAN VEG FRIED RICE,Star Fool,2.0,GM,
HONG KONG NOODLES,Star Fool,2.0,GM,
Fragrance Rice,Star Fool,2.0,GM,
VEG KOLHAPURI,Amul Cream,2.0,ML,
VEG KOLHAPURI,Amul Cream,2.0,ML,
HONEY NOODLES WITH VANILLA ICE CREAM,Black Till,2.0,GM,
MUTTON GHEE ROAST,CURRY LEAF,2.0,GM,
Vegetable Gassi,CURRY LEAF,2.0,GM,
CHICKEN GHEE ROAST,CURRY LEAF,2.0,GM,
Chicken Stew,CURRY LEAF,2.0,GM,
Vegetable Stew,CURRY LEAF,2.0,GM,
EGG GHEE ROAST,CURRY LEAF,2.0,GM,
Pepper Blast Chicken,Corn Flour,2.0,GM,
Chicken In Chilly Soya,Corn Flour,2.0,GM,
Mushroom Paneer Babycorn In Red Chilli Flakes,Corn Flour,2.0,GM,
Thai FRIDE Rice,Fish Sauce,2.0,GM,
Vegetable Gassi,Green Peas,2.0,GM,
Dehati Lamb,Kaju Tukda,2.0,GM,
DOODHI HALWA,Kaju Tukda,2.0,GM,
Dehati Lamb,Kaju Tukda,2.0,GM,
Methi Roti,Refind Oil,2.0,ML,
MALWANI BOMBIL FRY,Refind Oil,2.0,ML,
ALOO PARATHA,Refind Oil,2.0,ML,
Prawns Tom Kha Soup,Refind Oil,2.0,ML,
Cheeese Naan,Refind Oil,2.0,ML,
BUTTER PUDINA PARATHA,Refind Oil,2.0,ML,
Paratha Stuffed,Refind Oil,2.0,ML,
BUTTER GARLIC ROTI,Refind Oil,2.0,ML,
Naan,Refind Oil,2.0,ML,
Paratha Plain,Refind Oil,2.0,ML,
Mustard Soup,Refind Oil,2.0,ML,
BUTTER GARLIC NAAN,Refind Oil,2.0,ML,
OMELETTE,Refind Oil,2.0,ML,
Butter Paratha,Refind Oil,2.0,ML,
Funci Tongi Soup,Refind Oil,2.0,ML,
Garlic Naan,Refind Oil,2.0,ML,
ALOO KULCHA,Refind Oil,2.0,ML,
PUDINA PARATHA,Refind Oil,2.0,ML,
Stuffed Kulcha,Refind Oil,2.0,ML,
BUTTER GARLIC KULCHA,Refind Oil,2.0,ML,
GARLIC KULCHA,Refind Oil,2.0,ML,
Butter Roti,Refind Oil,2.0,ML,
Basil Garlic Cheesy Potato,Refind Oil,2.0,ML,
Baby Kulcha,Refind Oil,2.0,ML,
ONION KULCHA,Refind Oil,2.0,ML,
Plain Kulcha,Refind Oil,2.0,ML,
Cheese & Garlic Naan,Refind Oil,2.0,ML,
GARLIC ROTI,Refind Oil,2.0,ML,
Butter Kulcha,Refind Oil,2.0,ML,
Roti,Refind Oil,2.0,ML,
Butter Baby Kulcha,Refind Oil,2.0,ML,
Butter Naan,Refind Oil,2.0,ML,
Tom Kha Soup,Refind Oil,2.0,ML,
Missi Roti,Refind Oil,2.0,ML,
Seafood Combo Soup,Sesame Oil,2.0,ML,
Spicy Crab Soup,Sesame Oil,2.0,ML,
Wonton & Noodle Soup,Sesame Oil,2.0,ML,
Steam Chicken With Stir Fried Vegetables,Sesame Oil,2.0,ML,
CHICKEN GRILLED SANDWICH,US MASTARD,2.0,GM,
TOMATO BASIL SOUP,Bread Slice,2.0,GM,
VEG SANDWICH,Bread Slice,2.0,PC,
CHICKEN GRILLED SANDWICH,Bread Slice,2.0,PC,
TOMATO BASIL SOUP,Bread Slice,2.0,GM,
TOMATO SOUP,Bread Slice,2.0,GM,
TOMATO SOUP,Bread Slice,2.0,GM,
Butter Baby Kulcha,Butter Amul,2.0,GM,
ALOO PARATHA,Butter Amul,2.0,GM,
TOMATO SOUP,Butter Amul,2.0,GM,
TOMATO SOUP,Butter Amul,2.0,GM,
ALOO KULCHA,Butter Amul,2.0,GM,
TOMATO BASIL SOUP,Butter Amul,2.0,GM,
TOMATO BASIL SOUP,Butter Amul,2.0,GM,
Tandoori Prawns REG,Chat Masala,2.0,GM,
Tandoori Pomfrate Regular (400gms),Chat Masala,2.0,GM,
Tandoori Squid,Chat Masala,2.0,GM,
EGG BIRYANI,Chat Masala,2.0,GM,
DAL KHICHDI,Chat Masala,2.0,GM,
Tandoori Surmai,Chat Masala,2.0,GM,
DAL PALAK KHICHDI,Chat Masala,2.0,GM,
Tandoori Lobster,Chat Masala,2.0,GM,
DAL KHICHDI,Chat Masala,2.0,GM,
EGG MASALA,Chat Masala,2.0,GM,
EGG BIRYANI,Chat Masala,2.0,GM,
Tandoori Pompfret,Chat Masala,2.0,GM,
Tandoori Prawns (100 Gms),Chat Masala,2.0,GM,
Tandoori Rawas,Chat Masala,2.0,GM,
DAL PALAK KHICHDI,Chat Masala,2.0,GM,
Tandoori Crab,Chat Masala,2.0,GM,
,Chat Masala,2.0,GM,
,Chat Masala,2.0,GM,
EGG MASALA,Chat Masala,2.0,GM,
PALAK KHICHDI,Chat Masala,2.0,GM,
PALAK KHICHDI,Chat Masala,2.0,GM,
Prawns Tom Yum Soup,Fresh Basil,2.0,GM,
Thai FRIDE Rice,Fresh Basil,2.0,GM,
Malysian Soup,Fresh Basil,2.0,GM,
Vegetable Gassi,Hing Powder,2.0,GM,
CHICKEN KADAI,Jeera Whole,2.0,GM,
Peshawari Kofta,Jeera Whole,2.0,GM,
Dehati Lamb,Jeera Whole,2.0,GM,
Murgh Bharta Masala,Jeera Whole,2.0,GM,
VEG MAKHANWALA,Jeera Whole,2.0,GM,
Chatpata Paneer,Jeera Whole,2.0,GM,
CHICKEN KADAI,Jeera Whole,2.0,GM,
Dhabe Da Lamb,Jeera Whole,2.0,GM,
Nalli Kashmiri Rogan,Jeera Whole,2.0,GM,
VEG SONERI,Jeera Whole,2.0,GM,
Karele Kaju Masala,Jeera Whole,2.0,GM,
VEG KOLHAPURI,Jeera Whole,2.0,GM,
VEG MAKHANWALA,Jeera Whole,2.0,GM,
Avadhi Chicken,Jeera Whole,2.0,GM,
Dal Tadka,Jeera Whole,2.0,GM,
PALAK KHICHDI,Jeera Whole,2.0,GM,
Paneer Khurchan,Jeera Whole,2.0,GM,
LASOONI PALAK,Jeera Whole,2.0,GM,
Maratha Lamb,Jeera Whole,2.0,GM,
Methi Paneer,Jeera Whole,2.0,GM,
Paneer Tikka Masala,Jeera Whole,2.0,GM,
Rajasthani Laal Maas,Jeera Whole,2.0,GM,
Methi Chicken,Jeera Whole,2.0,GM,
VEG PULAO,Jeera Whole,2.0,GM,
Dehati Lamb,Jeera Whole,2.0,GM,
Kumbh Makai Palak,Jeera Whole,2.0,GM,
Methi Malai Mutter,Jeera Whole,2.0,GM,
Murg Tikka Nawabi,Jeera Whole,2.0,GM,
Karele Kaju Masala,Jeera Whole,2.0,GM,
PALAK PANEER,Jeera Whole,2.0,GM,
Methi Paneer,Jeera Whole,2.0,GM,
Dhabe Da Murg,Jeera Whole,2.0,GM,
Phalguni Sabzi,Jeera Whole,2.0,GM,
Reshmi Paneer,Jeera Whole,2.0,GM,
DAL PALAK KHICHDI,Jeera Whole,2.0,GM,
PEAS PULAO,Jeera Whole,2.0,GM,
Dal Palak Ghost,Jeera Whole,2.0,GM,
Dehati Murg,Jeera Whole,2.0,GM,
Ghost Sofiana,Jeera Whole,2.0,GM,
Paneer Khurchan,Jeera Whole,2.0,GM,
Mirchi Ka Salan,Jeera Whole,2.0,GM,
Bukhara Kofta Curry,Jeera Whole,2.0,GM,
Maratha Chicken,Jeera Whole,2.0,GM,
PALAK KHICHDI,Jeera Whole,2.0,GM,
Moong Dal Aur Methi Ki Subzi,Jeera Whole,2.0,GM,
Murg Pudhina Masala,Jeera Whole,2.0,GM,
Paneer Lawabdar,Jeera Whole,2.0,GM,
Bhindi Mirch Masala,Jeera Whole,2.0,GM,
Dal Palak Ghost,Jeera Whole,2.0,GM,
Diwani Handi,Jeera Whole,2.0,GM,
EGG BIRYANI,Jeera Whole,2.0,GM,
PANEER KADAI,Jeera Whole,2.0,GM,
Subzi Kofta Masala,Jeera Whole,2.0,GM,
Kumbh Makai Palak,Jeera Whole,2.0,GM,
Dehati Murg,Jeera Whole,2.0,GM,
Avadhi Lamb,Jeera Whole,2.0,GM,
Dum Aloo Amritsari,Jeera Whole,2.0,GM,
Methi Lamb,Jeera Whole,2.0,GM,
Murgh -ka-salan,Jeera Whole,2.0,GM,
Murgh Bharta Masala,Jeera Whole,2.0,GM,
Ghost Sofiana,Jeera Whole,2.0,GM,
Paneer Lawabdar,Jeera Whole,2.0,GM,
Bhindi Mirch Masala,Jeera Whole,2.0,GM,
PEAS PULAO,Jeera Whole,2.0,GM,
EGG BIRYANI,Jeera Whole,2.0,GM,
LASOONI PALAK,Jeera Whole,2.0,GM,
DAL KHICHDI,Jeera Whole,2.0,GM,
Murg Tikka Nawabi,Jeera Whole,2.0,GM,
Zafrani Chicken,Jeera Whole,2.0,GM,
Chatpata Paneer,Jeera Whole,2.0,GM,
Ghost Hara Pyaaz,Jeera Whole,2.0,GM,
Tawa Lamb,Jeera Whole,2.0,GM,
Avadhi Chicken,Jeera Whole,2.0,GM,
Kalonji Ka Baigan,Jeera Whole,2.0,GM,
Methi Lamb,Jeera Whole,2.0,GM,
Rajasthani Laal Maas,Jeera Whole,2.0,GM,
Subzi Noorani,Jeera Whole,2.0,GM,
Dal Tadka,Jeera Whole,2.0,GM,
Dum Paneer Kalamiri,Jeera Whole,2.0,GM,
Murg Makhanwala,Jeera Whole,2.0,GM,
Pindi Chana,Jeera Whole,2.0,GM,
VEG LAHORI,Jeera Whole,2.0,GM,
Multani Mutton,Jeera Whole,2.0,GM,
Multani Mutton,Jeera Whole,2.0,GM,
Reshmi Paneer,Jeera Whole,2.0,GM,
Kalonji Ka Baigan,Jeera Whole,2.0,GM,
Murg Makhanwala,Jeera Whole,2.0,GM,
PANEER KADAI,Jeera Whole,2.0,GM,
Tawa Chicken,Jeera Whole,2.0,GM,
Tawa Chicken,Jeera Whole,2.0,GM,
Amritsari Dal,Jeera Whole,2.0,GM,
Dhabe Da Murg,Jeera Whole,2.0,GM,
Moong Dal Aur Methi Ki Subzi,Jeera Whole,2.0,GM,
Tawa Lamb,Jeera Whole,2.0,GM,
Amritsari Dal,Jeera Whole,2.0,GM,
Multani Murgh,Jeera Whole,2.0,GM,
VEG LAHORI,Jeera Whole,2.0,GM,
Dum Paneer Kalamiri,Jeera Whole,2.0,GM,
EGG MASALA,Jeera Whole,2.0,GM,
Ghost Hara Pyaaz,Jeera Whole,2.0,GM,
Nalli Kashmiri Rogan,Jeera Whole,2.0,GM,
Phalguni Sabzi,Jeera Whole,2.0,GM,
Dum Aloo Amritsari,Jeera Whole,2.0,GM,
Murgh -ka-salan,Jeera Whole,2.0,GM,
Paneer Kofta Hara Masala,Jeera Whole,2.0,GM,
EGG MASALA,Jeera Whole,2.0,GM,
Maratha Chicken,Jeera Whole,2.0,GM,
Mirchi Ka Salan,Jeera Whole,2.0,GM,
Paneer Tikka Masala,Jeera Whole,2.0,GM,
VEG PULAO,Jeera Whole,2.0,GM,
Peshawari Kofta,Jeera Whole,2.0,GM,
Subzi Noorani,Jeera Whole,2.0,GM,
Murg Pudhina Masala,Jeera Whole,2.0,GM,
Pindi Chana,Jeera Whole,2.0,GM,
Dhabe Da Lamb,Jeera Whole,2.0,GM,
Methi Chicken,Jeera Whole,2.0,GM,
Methi Malai Mutter,Jeera Whole,2.0,GM,
VEG SONERI,Jeera Whole,2.0,GM,
Diwani Handi,Jeera Whole,2.0,GM,
Paneer Kofta Hara Masala,Jeera Whole,2.0,GM,
VEG KOLHAPURI,Jeera Whole,2.0,GM,
Avadhi Lamb,Jeera Whole,2.0,GM,
DAL KHICHDI,Jeera Whole,2.0,GM,
Subzi Kofta Masala,Jeera Whole,2.0,GM,
DAL PALAK KHICHDI,Jeera Whole,2.0,GM,
PALAK PANEER,Jeera Whole,2.0,GM,
Bukhara Kofta Curry,Jeera Whole,2.0,GM,
Maratha Lamb,Jeera Whole,2.0,GM,
