Invoice_No_,Date,Change_Log
567,2024-05-04 23:50:22+00:00,"Order (Bill No.: B567, Amount: 6915) is created by sachindra (sachindra), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-05-04 23:50:22Order (Bill No.: B567) total amount changed from 6915 to 6600 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-04 23:55:00"
570,2024-05-05 00:04:51+00:00,Order (Bill No.: B570) total amount changed from 3607 to 3443 by sachindra (sachindra. ) (Order modify comment: YES+) (Electron Pos) - 2024-05-05 00:11:44
587,2024-05-05 23:35:07+00:00,Order (Bill No.: B587) total amount changed from 5953 to 5682 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-05 23:40:33
665,2024-05-10 23:28:34+00:00,"Order (Bill No.: B665, Amount: 536) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-05-10 23:28:34Order (Bill No.: B665) total amount changed from 536 to 512 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-10 23:31:59"
667,2024-05-10 23:43:28+00:00,Order (Bill No.: B667) total amount changed from 2144 to 2046 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-10 23:45:31
699,2024-05-12 14:46:07+00:00,Order (Bill No.: B699) total amount changed from 398 to 380 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-12 14:49:40
705,2024-04-14 14:28:40+00:00,Order (Bill No.: F705) total amount changed from 7023 to 3512 by sachindra (sachindra. ) (Order modify comment: sairaj) (Electron Pos) - 2024-04-14 14:33:12
762,2024-05-16 00:53:50+00:00,Order (Bill No.: B762) total amount changed from 1873 to 1498 by vijay (vijay shetty. ) (Order modify comment: ref.babunna) (Electron Pos) - 2024-05-16 00:56:30
768,2024-04-14 22:41:17+00:00,"Order (Bill No.: F768, Amount: 2679) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-14 22:41:17Order (Bill No.: F768) total amount changed from 2679 to 2552 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-14 22:43:59"
785,2024-04-15 00:01:08+00:00,"Order (Bill No.: F785, Amount: 6207) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-15 00:01:08Order (Bill No.: F785) total amount changed from 6207 to 5912 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-15 00:03:36"
801,2024-05-18 22:53:24+00:00,Order (Bill No.: B801) total amount changed from 0 to 105 by Sujay Shetty (sujayshetty.nmims@gmail.com) using Chrome (IP-103.113.255.251) - 2024-06-01 20:38:55
836,2024-04-16 20:51:13+00:00,"Order (Bill No.: F836, Amount: 3749) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-16 20:51:13Order (Bill No.: F836) total amount changed from 3749 to 3570 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-16 20:54:27"
839,2024-04-16 20:59:21+00:00,"Order (Bill No.: F839, Amount: 2630) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-16 20:59:21Order (Bill No.: F839) total amount changed from 2630 to 2504 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-16 21:01:19"
846,2024-04-16 21:50:54+00:00,"Order (Bill No.: F846, Amount: 6825) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-16 21:50:54Order (Bill No.: F846) total amount changed from 6825 to 6500 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-16 21:51:23"
848,2024-05-23 13:09:47+00:00,Order (Bill No.: B848) total amount changed from 319 to 456 by sachindra (sachindra. ) (Order modify comment: FHRA) (Electron Pos) - 2024-05-23 13:15:10
879,2024-05-25 14:19:51+00:00,Order (Bill No.: B879) total amount changed from 1590 to 1518 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-05-25 14:25:05
880,2024-05-25 14:20:37+00:00,"Order (Bill No.: B880, Amount: 536) is created by sachindra (sachindra), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-05-25 14:20:37Order (Bill No.: B880) total amount changed from 536 to 512 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-05-25 14:26:10"
916,2024-05-26 15:11:10+00:00,Order (Bill No.: B916) total amount changed from 536 to 512 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-26 15:15:20
918,2024-05-26 16:38:02+00:00,Order (Bill No.: B918) total amount changed from 26467 to 25262 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-26 16:48:57
931,2024-05-27 23:02:20+00:00,Order (Bill No.: B931) total amount changed from 19345 to 20088 by TAPASH (TAPASH. ) (Electron Pos) - 2024-05-27 23:03:48
932,2024-05-27 23:37:01+00:00,Order (Bill No.: B932) total amount changed from 461 to 440 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-27 23:40:25
949,2024-04-18 22:29:05+00:00,"Order (Bill No.: F949, Amount: 2696) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-18 22:29:05Order (Bill No.: F949) total amount changed from 2696 to 2567 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-04-18 22:32:05"
990,2024-04-19 21:33:32+00:00,"Order (Bill No.: F990, Amount: 9074) is created by TAPASH (TAPASH), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-19 21:33:32Order (Bill No.: F990) total amount changed from 9074 to 8642 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-19 21:36:42"
1002,2024-04-19 22:45:01+00:00,"Order (Bill No.: F1002, Amount: 12089) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-04-19 22:45:01Order (Bill No.: F1002) total amount changed from 12089 to 11513 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-19 22:49:49"
1023,2024-04-20 15:04:45+00:00,"Order (Bill No.: F1023, Amount: 4107) is created by sachindra (sachindra), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-20 15:04:45Order (Bill No.: F1023) total amount changed from 4107 to 3911 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-20 15:09:30"
1037,2024-06-03 22:32:49+00:00,Order (Bill No.: B1037) total amount changed from 2766 to 2640 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-06-03 22:36:53
1044,2024-06-04 20:55:20+00:00,"Order (Bill No.: B1044, Amount: 380) is created by sachindra (sachindra), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-06-04 20:55:20Order (Bill No.: B1044) total amount changed from 380 to 363 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-06-04 20:59:10"
1052,2024-06-05 21:16:00+00:00,"Order (Bill No.: B1052, Amount: 2527) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-06-05 21:16:00Order (Bill No.: B1052) total amount changed from 2527 to 2973 by vijay (vijay shetty. ) (Order modify comment: wrong punching) (Electron Pos) - 2024-06-05 21:18:13"
1054,2024-04-20 21:47:26+00:00,"Order (Bill No.: F1054, Amount: 1940) is created by TAPASH (TAPASH), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-20 21:47:26Order (Bill No.: F1054) total amount changed from 1940 to 1836 by RAM (RAM RATHORE. ) (Order modify comment: just for test) (Electron Pos) - 2024-04-20 21:51:23"
1059,2024-04-20 22:08:33+00:00,"Order (Bill No.: F1059, Amount: 2122) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-20 22:08:33Order (Bill No.: F1059) total amount changed from 2122 to 2021 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-20 22:11:30"
1064,2024-06-06 21:10:57+00:00,"Order (Bill No.: B1064, Amount: 4236) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-06-06 21:10:57Order (Bill No.: B1064) total amount changed from 4236 to 4043 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-06-06 21:13:10"
1066,2024-06-06 21:29:24+00:00,Order (Bill No.: B1066) total amount changed from 1141 to 1089 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-06-06 21:34:08
1093,2024-06-07 22:53:09+00:00,Order (Bill No.: B1093) total amount changed from 5549 to 4994 by vijay (vijay shetty. ) (Order modify comment: discount) (Electron Pos) - 2024-06-07 22:57:30
1151,2024-06-10 00:05:15+00:00,Order (Bill No.: B1151) total amount changed from 2247 to 2145 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-06-10 00:12:10
1169,2024-04-21 22:20:06+00:00,"Order (Bill No.: F1169, Amount: 13781) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-04-21 22:20:06Order (Bill No.: F1169) total amount changed from 13781 to 13125 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-21 22:23:16"
1207,2024-04-22 21:58:23+00:00,"Order (Bill No.: F1207, Amount: 3638) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-22 21:58:23Order (Bill No.: F1207) total amount changed from 3638 to 3465 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-22 22:00:52"
1225,2024-04-23 14:46:42+00:00,"Order (Bill No.: F1225, Amount: 3109) is created by sachindra (sachindra), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-23 14:46:42Order (Bill No.: F1225) total amount changed from 3109 to 2961 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-23 14:49:31"
1229,2024-06-15 23:28:41+00:00,Order (Bill No.: B1229) total amount changed from 1642 to 1568 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-06-15 23:33:28
1290,2024-06-19 21:24:57+00:00,"Order (Bill No.: B1290, Amount: 2927) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-06-19 21:24:57Order (Bill No.: B1290) total amount changed from 2927 to 2794 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-06-19 21:30:09"
1302,2024-04-24 22:35:30+00:00,Order (Bill No.: F1302) total amount changed from 2359 to 2247 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-24 22:40:51
1305,2024-04-24 23:11:29+00:00,"Order (Bill No.: F1305, Amount: 877) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-24 23:11:29Order (Bill No.: F1305) total amount changed from 877 to 835 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-24 23:15:00"
1305,2024-06-20 21:09:01+00:00,Order (Bill No.: B1305) total amount changed from 1642 to 1568 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-06-20 21:12:55
1306,2024-04-24 23:19:01+00:00,"Order (Bill No.: F1306, Amount: 10055) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-24 23:19:01Order (Bill No.: F1306) total amount changed from 10055 to 9576 by vijay (vijay shetty. ) (Order modify comment: nosc) (Electron Pos) - 2024-04-24 23:20:51"
1320,2024-04-25 15:05:41+00:00,"Order (Bill No.: F1320, Amount: 4636) is created by sachindra (sachindra), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-25 15:05:41Order (Bill No.: F1320) total amount changed from 4636 to 4415 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-25 15:07:20"
1326,2024-06-21 23:26:55+00:00,"Order (Bill No.: B1326, Amount: 1487) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-06-21 23:26:55Order (Bill No.: B1326) total amount changed from 1487 to 1419 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-06-21 23:30:54"
1339,2024-06-22 21:59:08+00:00,"Order (Bill No.: B1339, Amount: 1637) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-06-22 21:59:08Order (Bill No.: B1339) total amount changed from 1637 to 1562 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-06-22 22:00:46"
1340,2024-06-22 22:03:06+00:00,Order (Bill No.: B1340) total amount changed from 7733 to 7381 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-06-22 22:11:58
1349,2024-06-22 23:21:29+00:00,Order (Bill No.: B1349) total amount changed from 1487 to 1264 by vijay (vijay shetty. ) (Order modify comment: fhrai/) (Electron Pos) - 2024-06-22 23:22:41
1349,2024-04-25 22:58:33+00:00,"Order (Bill No.: F1349, Amount: 8484) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-25 22:58:33Order (Bill No.: F1349) total amount changed from 8484 to 8080 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-25 22:59:56"
1366,2024-06-23 15:55:46+00:00,Order (Bill No.: B1366) total amount changed from 536 to 512 by sachindra (sachindra. ) (Order modify comment: SC%) (Electron Pos) - 2024-06-23 15:59:07
1425,2024-06-26 23:44:48+00:00,Order (Bill No.: B1425) total amount changed from 3521 to 3361 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-06-26 23:53:47
1434,2024-04-27 15:01:29+00:00,"Order (Bill No.: F1434, Amount: 9327) is created by sachindra (sachindra), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-04-27 15:01:29Order (Bill No.: F1434) total amount changed from 9327 to 8883 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-27 15:03:58"
1436,2024-04-27 15:09:39+00:00,"Order (Bill No.: F1436, Amount: 8523) is created by sachindra (sachindra), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-04-27 15:09:39Order (Bill No.: F1436) total amount changed from 8523 to 8117 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-27 15:13:52"
1467,2024-04-27 22:06:37+00:00,"Order (Bill No.: F1467, Amount: 5871) is created by vijay (vijay shetty), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-04-27 22:06:37Order (Bill No.: F1467) total amount changed from 5871 to 5591 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-27 22:08:22"
1475,2024-06-30 14:50:35+00:00,Order (Bill No.: B1475) total amount changed from 1367 to 1608 by vijay (vijay shetty. ) (Order modify comment: removed discount) (Electron Pos) - 2024-06-30 14:55:20
1476,2024-06-30 14:51:14+00:00,Order (Bill No.: B1476) total amount changed from 1608 to 1367 by vijay (vijay shetty. ) (Order modify comment: regular guest) (Electron Pos) - 2024-06-30 14:53:03
1492,2024-06-30 23:28:39+00:00,Order (Bill No.: B1492) total amount changed from 2484 to 2371 by sachindra (sachindra. ) (Order modify comment: SC%) (Electron Pos) - 2024-06-30 23:35:04
1507,2024-04-28 00:32:28+00:00,"Order (Bill No.: F1507, Amount: 8947) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-28 00:32:28Order (Bill No.: F1507) total amount changed from 8947 to 8521 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-28 00:35:19"
1557,2024-04-28 20:16:36+00:00,"Order (Bill No.: F1557, Amount: 3655) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-04-28 20:16:36Order (Bill No.: F1557) total amount changed from 3655 to 3481 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-28 20:24:19"
1567,2024-04-28 21:03:21+00:00,"Order (Bill No.: F1567, Amount: 1940) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-28 21:03:21Order (Bill No.: F1567) total amount changed from 1940 to 1848 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-28 21:05:29"
1574,2024-07-06 22:35:25+00:00,Order (Bill No.: B1574) total amount changed from 536 to 512 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-07-06 22:39:01
1592,2024-07-07 20:50:16+00:00,Order (Bill No.: B1592) total amount changed from 1141 to 1089 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-07-07 20:52:54
1633,2024-04-29 21:46:02+00:00,"Order (Bill No.: F1633, Amount: 4041) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-04-29 21:46:02Order (Bill No.: F1633) total amount changed from 4041 to 3848 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-29 21:48:16"
1641,2024-04-29 23:10:24+00:00,"Order (Bill No.: F1641, Amount: 4515) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-04-29 23:10:24Order (Bill No.: F1641) total amount changed from 4515 to 4300 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-29 23:13:21"
1685,2024-04-30 23:28:38+00:00,"Order (Bill No.: F1685, Amount: 2585) is created by sachindra (sachindra), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-04-30 23:28:38Order (Bill No.: F1685) total amount changed from 2585 to 2462 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-30 23:31:43"
1710,2024-07-14 22:27:19+00:00,Order (Bill No.: B1710) total amount changed from 1988 to 1898 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-07-14 22:31:09
1761,2024-05-01 23:17:17+00:00,"Order (Bill No.: F1761, Amount: 7150) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-05-01 23:17:17Order (Bill No.: F1761) total amount changed from 7150 to 6809 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-01 23:21:53"
1766,2024-05-01 23:39:09+00:00,"Order (Bill No.: F1766, Amount: 16857) is created by vijay (vijay shetty), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-05-01 23:39:09Order (Bill No.: F1766) total amount changed from 16857 to 16055 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-01 23:42:35"
1775,2024-07-20 22:17:12+00:00,Order (Bill No.: B1775) total amount changed from 2420 to 2310 by vijay (vijay shetty. ) (Order modify comment: removed sc) (Electron Pos) - 2024-07-20 22:21:49
