Raw_Material,Unit,Purchased_Quantity,ConsumedQuantity,Variance,VariancePercentage
Butter Scotch Ice Cream,LTR,12.0,1.08,10.92,91.0
Cabbage,Kg,111.5,7.35,104.15,93.40807174887892
Capsico Sauce,BTL,36.0,8.666666666666673,27.33333333333333,75.92592592592591
Capsicum,Kg,151.5,73.45499999999993,78.04500000000007,51.51485148514856
Carrots,Kg,376.0,32.40999999999992,343.5900000000001,91.3803191489362
Cauliflower,Kg,80.0,29.609999999999975,50.39000000000003,62.98750000000004
Celery Leaves,Kg,20.25,0.8099999999999999,19.44,96.00000000000001
Chana Dal,Kg,28.0,11.799999999999983,16.200000000000017,57.85714285714292
Chat Masala,PKT,110.0,148.6800000000012,-38.6800000000012,-35.16363636363746
Cheese Amul,Kg,81.0,13.455000000000005,67.54499999999999,83.38888888888887
Chicken Breast Bonless,Kg,166.0,47.07999999999999,118.92000000000002,71.63855421686748
Chicken Leg Bonless,Kg,283.0,179.94,103.06,36.416961130742045
Chicken Masala,PKT,12.0,4.480000000000002,7.519999999999998,62.66666666666665
Chinese Cabbage,Kg,25.5,2.890000000000001,22.61,88.66666666666666
Chocolate Ice Cream,LTR,12.0,0.96,11.04,92.0
Cinnamon (dalchini),Kg,1.5,0.2980000000000002,1.2019999999999997,80.13333333333331
Coconut Big,PCS,279.0,1200.5,-921.5,-330.2867383512545
Coconut Milk Powder,PKT,42.0,32.152000000000044,9.847999999999956,23.447619047618947
Coconut Oil,BTL,16.0,0.43000000000000005,15.57,97.3125
Coriander Leaves,Kg,193.5,19.017999999999713,174.48200000000028,90.17157622739033
Corn Flour,Kg,50.0,12.114000000000003,37.885999999999996,75.77199999999999
Cucumber,Kg,483.0,5.390000000000001,477.61,98.8840579710145
Curd Mother Dairy,Kg,480.0,19.561999999999898,460.4380000000001,95.92458333333336
Dhaniya Whole,Kg,5.0,0.48500000000000004,4.515,90.3
Dijon Mustard,BTL,1.0,0.048,0.952,95.19999999999999
Eggs,PCS,4000.0,16664.0,-12664.0,-316.59999999999997
Eno Regular,BTL,4.0,4.950000000000001,-0.9500000000000011,-23.75000000000003
Fresh Basil,Kg,11.2,2.782000000000001,8.418,75.16071428571428
Fresh Beans,Kg,311.5,3.2200000000000015,308.28,98.96629213483146
Fresh Milk (tabela),LTR,130.0,42.964999999999996,87.035,66.95
Fresh Mushroom,Kg,116.80000000000004,36.32499999999999,80.47500000000005,68.89982876712331
Fresh Red Chilly,Kg,15.0,4.814000000000003,10.185999999999996,67.90666666666664
Frut Overload Ice Cream,LTR,8.0,0.12,7.88,98.5
Garam Masala,Kg,2.0,6.021000000000004,-4.021000000000004,-201.0500000000002
Ghee Nandani,Kg,86.0,42.68600000000007,43.31399999999993,50.36511627906969
Ginger,Kg,67.25,3.398000000000002,63.852,94.94721189591078
Green Chilly,Kg,85.0,18.64699999999974,66.35300000000026,78.06235294117678
Green Corn,TIN,72.0,5.459999999999999,66.54,92.41666666666669
Green Elaichi,Kg,1.5,0.7962500000000006,0.7037499999999994,46.91666666666663
Green Peas,PKT,94.0,4.956000000000001,89.044,94.72765957446808
Green Peppercorn,BTL,2.0,2.64,-0.6400000000000001,-32.00000000000001
Green Zucchini,Kg,25.5,4.700000000000003,20.799999999999997,81.56862745098039
Gulab Badam Slice Kulfi,PCS,20.0,11.0,9.0,45.0
Haldi Powder,Kg,21.0,7.240000000000002,13.759999999999998,65.52380952380952
Hing Powder,BTL,14.0,0.56,13.44,96.0
Hoisin Sauce,BTL,3.0,0.22857142857142856,2.7714285714285714,92.38095238095238
Honey,BTL,4.0,0.12,3.88,97.0
Iceberg Lettuce,Kg,24.5,0.8,23.7,96.73469387755101
Imli,Kg,7.0,0.04,6.96,99.42857142857143
Jaiphal,Kg,0.25,0.049,0.201,80.4
Jal Jeera,PKT,6.0,3.2,2.8,46.666666666666664
Javantry,Kg,0.5,0.06600000000000002,0.434,86.8
Jeera Powder,Kg,2.0,0.8800000000000001,1.1199999999999999,55.99999999999999
Jeera Whole,Kg,22.0,8.984000000000002,13.015999999999998,59.16363636363635
Kabuli Chana,Kg,35.0,6.5,28.5,81.42857142857143
Kaju Tukda,Kg,72.0,6.024000000000002,65.976,91.63333333333334
Kaju Whole,Kg,3.0,0.6559999999999999,2.3440000000000003,78.13333333333334
Kalonji,Kg,0.25,0.024,0.226,90.4
Karela,Kg,7.0,4.5,2.5,35.714285714285715
Kashmiri Chilli,Kg,78.0,1.9520000000000006,76.048,97.4974358974359
Kashmiri Chilli Powder,PKT,22.0,0.05,21.95,99.77272727272727
Kasuri Methi,PKT,30.0,34.87999999999952,-4.879999999999519,-16.266666666665063
Kesar Pista Kulfi,PCS,10.0,9.0,1.0,10.0
Kewra Water,BTL,7.0,0.8,6.2,88.57142857142858
Kitchen King,PKT,18.0,11.616000000000009,6.3839999999999915,35.46666666666662
Kokum,Kg,2.0,0.612,1.388,69.39999999999999
Lady Finger,Kg,18.0,9.6,8.4,46.666666666666664
Lemon,Kg,253.0,2.887000000000002,250.113,98.85889328063242
Lemon Grass,Kg,3.0,0.042,2.958,98.60000000000001
Maggi Seasoning Sauce,BTL,3.0,0.16999999999999998,2.83,94.33333333333334
Maida,Kg,700.0,129.06700000000063,570.9329999999993,81.56185714285704
Makai Atta,Kg,2.0,0.2,1.8,90.0
Malai Kulfi,PCS,270.0,134.0,136.0,50.37037037037037
Malai Paneer,Kg,428.0,334.8149999999996,93.1850000000004,21.772196261682335
Mango Slice Kulfi,PCS,5.0,3.0,2.0,40.0
Medium Prawns,Kg,28.9,9.45,19.45,67.30103806228374
Methi (w),Kg,0.5,0.1,0.4,80.0
Methi Fresh,Kg,49.5,20.419999999999984,29.080000000000016,58.74747474747478
Milk 3 Fat,PKT,975.0,28.649999999999984,946.35,97.06153846153846
Millennium Kulfi,PCS,12.0,24.0,-12.0,-100.0
Mint Leaves,Kg,37.0,1.4900000000000002,35.51,95.97297297297297
Moong Dal,Kg,68.0,2.6,65.4,96.1764705882353
Mutton Big Raan,Kg,138.6,39.45999999999998,99.14000000000001,71.52958152958155
Onion,Kg,1549.0,27.169999999999945,1521.8300000000002,98.24596513879924
Papdi,PKT,4.0,0.6000000000000001,3.4,85.0
Peel Garlic,Kg,283.0,61.60499999999928,221.39500000000072,78.23144876325114
Peri Peri Masala,Kg,2.0,0.19999999999999998,1.8,90.0
Pineapple Fruit,Kg,110.45000000000002,0.17,110.28000000000002,99.84608420099592
Pista,Kg,2.0,0.2870000000000001,1.7129999999999999,85.64999999999999
Pok Choy,Kg,24.0,4.150000000000002,19.849999999999998,82.70833333333333
Pomfret,Kg,87.3,0.4,86.89999999999999,99.54180985108819
Potato,Kg,547.0,22.45499999999997,524.5450000000001,95.8948811700183
Potato Starch,Kg,38.0,0.7960000000000006,37.204,97.90526315789474
Prawns Frozen 70/80,Kg,18.0,0.19,17.81,98.94444444444443
Rai,Kg,10.0,0.01,9.99,99.9
Rajma Chitra,Kg,23.0,11.799999999999983,11.200000000000017,48.69565217391312
Rawas Fish,Kg,24.5,3.64,20.86,85.14285714285714
Refind Oil,LTR,883.0,35.69899999999958,847.3010000000004,95.9570781426954
Roasted Almond Slice Kulfi,PCS,20.0,6.0,14.0,70.0
Rose Water,BTL,5.0,1.1520000000000001,3.848,76.96
Salt Tata,PKT,150.0,29.94699999999923,120.05300000000076,80.03533333333385
Sambal Oleal Sauce,BTL,8.0,3.25,4.75,59.375
Sesame Oil,BTL,1.0,0.11000000000000001,0.89,89.0
Sev,Kg,11.5,0.12000000000000001,11.38,98.95652173913044
Sevai,PKT,8.0,3.5,4.5,56.25
Shao Hsing Vinegar,BTL,1.0,0.01875,0.98125,98.125
Shiitake Mushroom,Kg,1.0,1.5250000000000004,-0.5250000000000004,-52.500000000000036
Squid,Kg,6.5,1.6500000000000001,4.85,74.6153846153846
Star Fool,Kg,1.5,0.2720000000000001,1.228,81.86666666666666
Strawberry Ice Cream,LTR,4.0,0.27,3.73,93.25
Sugar,Kg,300.0,30.335999999999558,269.66400000000044,89.88800000000015
Surmay Fish,Kg,14.0,2.0,12.0,85.71428571428571
Sweet Corn Cream,TIN,24.0,2.8533333333333335,21.14666666666667,88.11111111111111
Tej Patta,Kg,0.5,0.08000000000000003,0.42,84.0
Tofu,Kg,3.0,0.9400000000000001,2.06,68.66666666666667
Tom Yum Cube,PKT,12.0,1.1111111111111112,10.88888888888889,90.74074074074075
Tomato Ketchup,BTL,84.0,8.070000000000004,75.92999999999999,90.39285714285712
Tomato Puree,TIN,48.0,32.48000000000002,15.519999999999982,32.3333333333333
Toor Dal,Kg,120.0,41.39999999999999,78.60000000000001,65.5
Vanilla Md Ice Cream,LTR,68.0,1.92,66.08,97.17647058823529
Veg Mayonnaise,BTL,14.0,0.7,13.3,95.0
Veg Oyester Sauce,BTL,24.0,9.750000000000007,14.249999999999993,59.374999999999964
Water Chestnuts,TIN,48.0,5.279999999999999,42.72,89.0
White Pepper Powder,Kg,11.0,0.8030000000000006,10.197,92.69999999999999
White Vinegar,BTL,30.0,0.7957142857142858,29.204285714285714,97.34761904761905
Yellow Chilli Powder,Kg,0.5,1.2,-0.7,-140.0
