Raw_Material,DayOfWeek,Unit,Total_Amount_Past_30days,Avg_Quantity_Current_Month,Avg_Quantity_Previous_Three_Months,Quantity_Change,PercentageChange
Pomfret,Saturday,Kg,14750.0,3.933333333333333,6.614285714285714,-2.6809523809523808,-40.53
Ghee Nandani,Sunday,Kg,14336.712,12.0,10.4,1.5999999999999996,15.38
Tiger Prawns,Sunday,Kg,13970.0,4.233333333333333,5.220000000000001,-0.9866666666666672,-18.9
Kashmiri Chilli,Saturday,Kg,13860.0,15.0,13.5,1.5,11.11
Peel Garlic,Wednesday,Kg,13680.0,12.666666666666666,8.777777777777779,3.8888888888888875,44.3
Paper Bag Small,Tuesday,NOS,13570.0,666.6666666666666,1000.0,-333.33333333333337,-33.33
Onion,Monday,Kg,11408.0,45.75,57.53846153846154,-11.78846153846154,-20.49
Bisleri 250 Ml,Tuesday,BTL,11399.994999999999,1200.0,1408.0,-208.0,-14.77
The Glenlivet 12 Years,Wednesday,BTL,10951.68,2.0,1.0,1.0,100.0
Chicken Leg Bonless,Wednesday,Kg,10500.0,8.75,6.5,2.25,34.62
Milk 3 Fat,Saturday,PKT,10080.0,36.0,26.411764705882355,9.588235294117645,36.3
Peel Garlic,Tuesday,Kg,10080.0,9.333333333333334,10.666666666666666,-1.3333333333333321,-12.5
Char Magaz,Thursday,Kg,9828.0,8.0,6.666666666666667,1.333333333333333,20.0
Dark Chocolate 2.5kg,Monday,Kg,9800.02,10.0,15.0,-5.0,-33.33
Tiger Prawns,Thursday,Kg,9680.0,4.4,6.7,-2.3,-34.33
Chapati For Staff,Thursday,PCS,9625.0,250.0,286.3636363636364,-36.363636363636374,-12.7
Paper Bag Small,Saturday,NOS,9617.0,550.0,500.0,50.0,10.0
Refind Oil,Monday,LTR,9537.619999999999,17.5,42.666666666666664,-25.166666666666664,-58.98
Curd Mother Dairy,Thursday,Kg,9355.5,18.0,14.375000000000002,3.6249999999999982,25.22
Chicken Breast Bonless,Thursday,Kg,9300.0,7.75,6.249999999999999,1.5000000000000009,24.0
After Mint M Pot,Tuesday,PKT,9187.5,35.0,25.0,10.0,40.0
Orange Imp,Saturday,Kg,9000.0,12.5,10.346153846153847,2.1538461538461533,20.82
Orange Imp,Monday,Kg,8820.0,12.25,10.67,1.58,14.81
Curd Mother Dairy,Tuesday,Kg,8731.8,21.0,17.333333333333336,3.6666666666666643,21.15
Corona,Wednesday,BTL,8682.336,48.0,24.0,24.0,100.0
Cheese Amul,Sunday,Kg,8682.24,8.5,12.0,-3.5,-29.17
Orange Imp,Sunday,Kg,8568.0,11.9,10.442857142857141,1.457142857142859,13.95
Moong Dal,Wednesday,Kg,8450.0,21.666666666666664,25.0,-3.3333333333333357,-13.33
Black Dog Triple Gold Reserve,Saturday,BTL,8407.98,3.0,2.0,1.0,50.0
Eggs,Wednesday,PCS,8360.0,260.0,234.6153846153846,25.384615384615387,10.82
Curd Mother Dairy,Sunday,Kg,8316.0,20.0,15.0,5.0,33.33
Cheese Amul,Friday,Kg,8171.52,8.0,12.0,-4.0,-33.33
Cheese Amul,Tuesday,Kg,8171.52,8.0,12.0,-4.0,-33.33
Orange Imp,Wednesday,Kg,8100.0,11.25,13.53846153846154,-2.28846153846154,-16.9
Orange Imp,Tuesday,Kg,8046.0,11.175,12.483333333333334,-1.3083333333333336,-10.48
Aquafina Water,Monday,BTL,7970.4,318.0,420.0,-102.0,-24.29
Frappe Powder,Tuesday,PKT,7950.744,8.0,15.333333333333334,-7.333333333333334,-47.83
Tomatos,Sunday,Kg,7920.0,49.5,30.538461538461537,18.961538461538463,62.09
Milk 3 Fat,Thursday,PKT,7840.0,28.0,24.25,3.75,15.46
Chicken Breast Bonless,Saturday,Kg,7800.0,8.666666666666666,7.75,0.9166666666666661,11.83
Mutton Big Raan,Friday,Kg,7440.0,6.2,9.428571428571429,-3.2285714285714286,-34.24
Amul Cream,Tuesday,PKT,7380.0,18.0,12.0,6.0,50.0
Aquafina Water,Friday,BTL,7250.4,600.0,400.0,200.0,50.0
Papad Big,Thursday,PKT,7200.0,10.0,8.0,2.0,25.0
Amul Milk,Friday,LTR,7140.0,19.2,32.0,-12.8,-40.0
Black & White,Wednesday,BTL,7111.23,3.0,2.0,1.0,50.0
Amul Milk,Sunday,LTR,7106.4,32.0,26.18181818181818,5.81818181818182,22.22
Amul Milk,Thursday,LTR,7106.4,32.0,21.818181818181817,10.181818181818183,46.67
Madagascar Chocolate,Monday,PKT,6873.5,1.0,1.6666666666666667,-0.6666666666666667,-40.0
Tissue Paper Ettarra,Thursday,PKT,6844.0,100.0,150.0,-50.0,-33.33
Kabuli Chana,Wednesday,Kg,6825.0,7.0,8.75,-1.75,-20.0
Mutton Big Raan,Wednesday,Kg,6720.0,5.6,7.083333333333334,-1.4833333333333343,-20.94
Prawns Frozen 70/80,Monday,Kg,6480.030000000001,6.0,5.0,1.0,20.0
Milk 3 Fat,Tuesday,PKT,6440.0,19.166666666666668,24.062500000000004,-4.895833333333336,-20.35
Kashmiri Chilli Powder,Thursday,PKT,6352.5,5.5,3.5,2.0,57.14
Absolut Vodka,Friday,BTL,6160.86,3.0,6.0,-3.0,-50.0
Ness Coffee,Saturday,PKT,6032.04,2.0,2.5,-0.5,-20.0
Curd Mother Dairy,Monday,Kg,6029.099999999999,19.333333333333332,14.249999999999998,5.083333333333334,35.67
Black Dal,Wednesday,Kg,5940.0,9.0,7.777777777777778,1.2222222222222223,15.71
Kot Roll,Friday,NOS,5900.0,100.0,112.0,-12.0,-10.71
Chapati For Staff,Wednesday,PCS,5775.0,262.5,291.6666666666667,-29.166666666666686,-10.0
Coconut Oil,Wednesday,BTL,5600.0,3.2,4.375,-1.1749999999999998,-26.86
Amul Cream,Monday,PKT,5580.0,9.0,12.0,-3.0,-25.0
White Urad Dal,Wednesday,Kg,5460.0,30.0,11.666666666666666,18.333333333333336,157.14
Amul Milk,Wednesday,LTR,5443.200000000001,36.0,27.0,9.0,33.33
Demerara Sugar 5 Gm,Tuesday,PKT,5443.2,18.0,1.0,17.0,1700.0
Fresh Mushroom,Sunday,Kg,5262.6,7.35,4.892307692307692,2.457692307692308,50.24
After Mint M Pot,Monday,PKT,5250.0,20.0,35.0,-15.0,-42.86
Tomatos,Monday,Kg,5240.0,32.75,48.53846153846154,-15.78846153846154,-32.53
Kingfisher Strong,Friday,BTL,5214.576,48.0,24.0,24.0,100.0
Bisleri 250 Ml,Monday,BTL,5039.997,528.0,1072.0,-544.0,-50.75
Oat Milk,Thursday,LTR,5031.0,14.4,9.6,4.800000000000001,50.0
Curd Mother Dairy,Saturday,Kg,4989.6,12.0,15.764705882352942,-3.764705882352942,-23.88
Chicken Supreme,Thursday,Kg,4960.0,3.2,2.888888888888889,0.31111111111111134,10.77
Amul Milk,Saturday,LTR,4944.0,21.333333333333332,27.0,-5.666666666666668,-20.99
Yellow Banana Chips,Wednesday,Kg,4940.0,13.0,10.0,3.0,30.0
Medium Prawns,Sunday,Kg,4840.0,2.933333333333333,3.55,-0.6166666666666667,-17.37
Swa Coconut Syrup,Monday,BTL,4798.08,12.0,2.0,10.0,500.0
Swa Hibiscus Cascara Syrup,Monday,BTL,4798.08,12.0,2.0,10.0,500.0
Fresh Beans,Thursday,Kg,4716.0,13.1,11.875,1.2249999999999996,10.32
Green Vatana,Wednesday,Kg,4670.0,8.333333333333334,7.222222222222222,1.1111111111111116,15.38
Tomato Ketchup,Tuesday,BTL,4535.709,18.0,11.0,7.0,63.64
Aromatic Powder,Saturday,PKT,4498.632,12.0,9.0,3.0,33.33
Tomatos,Tuesday,Kg,4280.0,26.75,23.769230769230774,2.9807692307692264,12.54
Wafer Potatos,Sunday,Kg,4154.0,22.25,16.25,6.0,36.92
Chapati For Staff,Monday,PCS,4125.0,250.0,288.46153846153845,-38.46153846153845,-13.33
Chapati For Staff,Tuesday,PCS,4125.0,250.0,284.375,-34.375,-12.09
Ballantine S Finest,Friday,BTL,4111.4400000000005,1.0,1.3333333333333333,-0.33333333333333326,-25.0
Potato Starch,Thursday,Kg,4081.201,5.666666666666667,3.6666666666666665,2.0000000000000004,54.55
Medium Prawns,Thursday,Kg,4070.0,3.7,4.233333333333333,-0.5333333333333332,-12.6
Poha,Wednesday,Kg,4030.0,13.0,10.833333333333332,2.166666666666668,20.0
Liquid Soup,Saturday,LTR,3964.8,210.0,122.5,87.5,71.43
Coconut Milk Powder,Sunday,PKT,3957.534,6.0,12.0,-6.0,-50.0
After Mint T One,Tuesday,PKT,3937.5,15.0,10.0,5.0,50.0
Chicken Leg Bonless,Tuesday,Kg,3900.0,6.5,5.685714285714285,0.814285714285715,14.32
Surmay Fish,Thursday,Kg,3850.0,3.5,4.15,-0.6500000000000004,-15.66
Paper Bag Big,Tuesday,NOS,3835.0,500.0,800.0,-300.0,-37.5
Peanut Roasted,Sunday,Kg,3800.0,20.0,12.5,7.5,60.0
Tomatos,Wednesday,Kg,3800.0,19.0,23.615384615384617,-4.615384615384617,-19.54
Chicken Supreme,Saturday,Kg,3720.0,4.0,3.1,0.8999999999999999,29.03
Potato,Thursday,Kg,3686.0,19.4,14.07142857142857,5.328571428571429,37.87
Rajma Chitra,Wednesday,Kg,3680.0,4.4,6.090909090909091,-1.6909090909090905,-27.76
Fresh Beans,Friday,Kg,3672.0,12.75,10.26923076923077,2.48076923076923,24.16
Fresh Beans,Sunday,Kg,3672.0,12.75,11.125,1.625,14.61
Bisleri 250 Ml,Wednesday,BTL,3600.007,720.0,1360.0,-640.0,-47.06
Chicken Breast Bonless,Wednesday,Kg,3600.0,4.0,5.5,-1.5,-27.27
Papad Big,Wednesday,PKT,3600.0,10.0,12.5,-2.5,-20.0
Tomatos,Friday,Kg,3600.0,22.5,34.38461538461539,-11.884615384615387,-34.56
Potato,Tuesday,Kg,3496.0,23.0,16.076923076923077,6.923076923076923,43.06
Kashmiri Chilli Powder,Saturday,PKT,3465.0,3.0,4.0,-1.0,-25.0
Dukes Soda,Thursday,BTL,3455.996,216.0,112.0,104.0,92.86
Cheese Mozzarella,Sunday,Kg,3394.7200000000003,3.5,4.285714285714286,-0.7857142857142856,-18.33
Eggs,Monday,PCS,3250.0,250.0,137.5,112.5,81.82
Medium Prawns,Saturday,Kg,3245.0,1.9666666666666666,3.94,-1.9733333333333334,-50.08
Prawns Frozen 70/80,Saturday,Kg,3240.0,6.0,4.333333333333334,1.666666666666666,38.46
Ice,Thursday,Kg,3220.0,92.0,80.0,12.0,15.0
Fresh Beans,Saturday,Kg,3204.0,11.125,9.5,1.625,17.11
Fresh Mushroom,Wednesday,Kg,3186.2,3.56,2.3818181818181814,1.1781818181818187,49.47
Fresh Mushroom,Thursday,Kg,3150.4,4.3999999999999995,3.571428571428572,0.8285714285714274,23.2
Chat Masala,Saturday,PKT,3150.0,20.0,25.0,-5.0,-20.0
Lemon,Saturday,Kg,3150.0,10.5,9.461538461538463,1.0384615384615365,10.98
Broccoli,Saturday,Kg,3120.0,4.0,2.923076923076923,1.076923076923077,36.84
Dukes Soda,Monday,BTL,3072.001,192.0,144.0,48.0,33.33
Broccoli,Thursday,Kg,3022.5,3.1,2.5,0.6000000000000001,24.0
Vanilla Md Ice Cream,Saturday,LTR,3020.232,8.0,5.6,2.4000000000000004,42.86
Fresh Mushroom,Monday,Kg,3007.2,4.2,4.707692307692308,-0.5076923076923077,-10.78
Chilli Pickle,Saturday,Kg,3000.0,10.0,7.5,2.5,33.33
Mutton Big Raan,Tuesday,Kg,3000.0,5.0,10.45,-5.449999999999999,-52.15
Ness Coffee,Tuesday,PKT,2980.98,2.0,2.75,-0.75,-27.27
Cheese Mozzarella,Saturday,Kg,2956.8,6.0,3.8,2.2,57.89
Jeera Whole,Saturday,Kg,2940.0,4.0,6.0,-2.0,-33.33
Jeera Whole,Thursday,Kg,2940.0,8.0,5.5,2.5,45.45
Sweet Lemon,Monday,Kg,2920.0,18.25,5.533333333333333,12.716666666666667,229.82
Cheese Mozzarella,Tuesday,Kg,2909.76,6.0,4.0,2.0,50.0
Cucumber,Thursday,Kg,2905.0,20.75,14.928571428571429,5.821428571428571,39.0
Cream Cheese,Tuesday,Kg,2890.764,4.0,1.5,2.5,166.67
Sheera Rava,Wednesday,Kg,2880.0,12.0,9.583333333333332,2.416666666666668,25.22
Fresh Beans,Monday,Kg,2844.0,9.875,14.192307692307692,-4.317307692307692,-30.42
Chicken Supreme,Sunday,Kg,2790.0,3.0,4.166666666666667,-1.166666666666667,-28.0
Chicken Supreme,Friday,Kg,2770.0,2.25,2.8,-0.5499999999999998,-19.64
Cling Foil,Friday,ROLL,2761.2,6.0,4.5,1.5,33.33
Thums Up,Friday,BTL,2750.004,120.0,80.0,40.0,50.0
Medium Prawns,Tuesday,Kg,2750.0,2.5,5.0,-2.5,-50.0
Pomfret,Monday,Kg,2750.0,2.2,4.3,-2.0999999999999996,-48.84
Wafer Potatos,Thursday,Kg,2668.0,19.333333333333332,13.692307692307692,5.6410256410256405,41.2
Lemon,Thursday,Kg,2662.5,7.1,5.642857142857143,1.4571428571428564,25.82
Kashmiri Chilli Powder,Wednesday,PKT,2660.7219999999998,2.5,3.0,-0.5,-16.67
Pineapple Fruit,Wednesday,Kg,2580.0,5.375,6.473076923076922,-1.0980769230769223,-16.96
Water Melon,Monday,Kg,2560.0,16.0,10.233333333333334,5.766666666666666,56.35
Irish Whisky Jameson Triple Distilled,Friday,BTL,2555.63,1.0,1.6666666666666667,-0.6666666666666667,-40.0
Lemon,Monday,Kg,2550.0,8.5,9.76923076923077,-1.26923076923077,-12.99
Eggs,Friday,PCS,2540.0,200.0,134.99999999999997,65.00000000000003,48.15
Coffee Cup 350 Ml,Tuesday,PCS,2537.0,500.0,2000.0,-1500.0,-75.0
Diet Coke,Monday,CAN,2520.0,72.0,48.0,24.0,50.0
Peel Garlic,Friday,Kg,2520.0,7.0,12.200000000000001,-5.200000000000001,-42.62
Chicken Supreme,Wednesday,Kg,2480.0,4.0,3.3333333333333335,0.6666666666666665,20.0
Malai Kulfi,Sunday,PCS,2478.0,35.0,26.0,9.0,34.62
Wafer Potatos,Wednesday,Kg,2478.0,10.6,9.600000000000001,0.9999999999999982,10.42
Amul Cream,Sunday,PKT,2460.0,12.0,15.0,-3.0,-20.0
Ice,Tuesday,Kg,2450.0,87.5,75.76923076923077,11.730769230769226,15.48
Coffee Cups 250 Ml,Tuesday,PCS,2419.0,500.0,2000.0,-1500.0,-75.0
Swa Hazelnut Syrup,Monday,BTL,2399.04,6.0,2.0,4.0,200.0
Swa Jamun Kala Khatta Syrup,Monday,BTL,2399.04,6.0,2.0,4.0,200.0
Soya Sauce Llk,Friday,BTL,2391.516,12.0,9.0,3.0,33.33
Soya Sauce Llk,Tuesday,BTL,2391.516,12.0,9.0,3.0,33.33
Wafer Potatos,Saturday,Kg,2372.0,12.75,15.23076923076923,-2.48076923076923,-16.29
Blue Curacao Syrup,Thursday,BTL,2368.26,3.0,6.0,-3.0,-50.0
Mojito Mint Syrup,Thursday,BTL,2368.26,3.0,6.0,-3.0,-50.0
Chat Masala,Wednesday,PKT,2362.5,30.0,20.0,10.0,50.0
Pineapple Fruit,Sunday,Kg,2352.0,6.533333333333333,5.461538461538462,1.0717948717948715,19.62
Coconut Big,Wednesday,PCS,2345.0,16.75,20.714285714285715,-3.9642857142857153,-19.14
Garlic Whole,Sunday,Kg,2280.0,3.0,3.8333333333333335,-0.8333333333333335,-21.74
Eggs,Saturday,PCS,2275.0,175.0,155.55555555555554,19.444444444444457,12.5
Haldi Powder,Thursday,Kg,2268.0,4.0,3.6,0.3999999999999999,11.11
Small Crab Whole,Sunday,Kg,2255.0,8.2,5.1,3.0999999999999996,60.78
Almond Milk,Sunday,PKT,2250.0,30.0,25.5,4.5,17.65
Kitchen King,Friday,PKT,2238.96,6.0,5.0,1.0,20.0
Kitchen King,Sunday,PKT,2238.96,6.0,4.666666666666667,1.333333333333333,28.57
Eggs,Thursday,PCS,2215.0,175.0,138.88888888888889,36.111111111111114,26.0
Coffee Cup Lid 350 Ml,Tuesday,PCS,2212.0,500.0,2000.0,-1500.0,-75.0
Rich Whip Topping Cream,Saturday,PKT,2208.487,2.5,3.5,-1.0,-28.57
Jeera Whole,Wednesday,Kg,2205.0,6.0,7.0,-1.0,-14.29
Thums Up,Sunday,BTL,2200.003,96.0,48.0,48.0,100.0
Fresh Milk (tabela),Thursday,LTR,2190.0,15.0,10.0,5.0,50.0
Carrots,Monday,Kg,2180.0,13.625,15.461538461538462,-1.8365384615384617,-11.88
Apple,Wednesday,Kg,2178.0,2.42,2.0416666666666665,0.3783333333333334,18.53
Cream Cheese,Sunday,Kg,2171.469,3.0,5.0,-2.0,-40.0
Wafer Potatos,Friday,Kg,2170.0,11.5,13.384615384615385,-1.884615384615385,-14.08
Potato,Wednesday,Kg,2166.0,11.4,18.461538461538463,-7.061538461538463,-38.25
Fresh Beans,Wednesday,Kg,2160.0,6.0,7.791666666666667,-1.791666666666667,-22.99
Pista,Saturday,Kg,2128.0,1.0,0.5,0.5,100.0
Pista,Wednesday,Kg,2128.0,1.0,0.5,0.5,100.0
M Fold Tissue,Tuesday,PKT,2124.0,60.0,40.0,20.0,50.0
Chicken Breast Bonless,Tuesday,Kg,2100.0,7.0,5.666666666666666,1.333333333333334,23.53
Coconut Big,Sunday,PCS,2100.0,20.0,14.555555555555555,5.444444444444445,37.4
Cucumber,Monday,Kg,2065.0,14.75,19.615384615384617,-4.865384615384617,-24.8
Broccoli,Wednesday,Kg,2047.5,2.1,1.7307692307692306,0.3692307692307695,21.33
Plastic Cont With Lid 750 Ml Rect,Thursday,PKT,2035.5,6.0,18.0,-12.0,-66.67
Coriander Leaves,Monday,Kg,2016.0,7.0,7.846153846153847,-0.8461538461538467,-10.78
Vanilla Md Ice Cream,Monday,LTR,2013.504,6.0,9.333333333333332,-3.333333333333332,-35.71
Cheesling,Sunday,TIN,2000.0,2.0,1.75,0.25,14.29
Cheesling,Thursday,TIN,2000.0,2.0,1.6666666666666667,0.33333333333333326,20.0
Cheesling,Tuesday,TIN,2000.0,2.0,1.5,0.5,33.33
Apple,Tuesday,Kg,1980.0,2.75,1.946153846153846,0.8038461538461541,41.3
French Fries 9mm,Sunday,PKT,1965.332,1.6666666666666667,2.0,-0.33333333333333326,-16.67
Corn Flour,Sunday,Kg,1960.0,25.0,5.0,20.0,400.0
Pineapple Fruit,Monday,Kg,1944.0,5.3999999999999995,4.9,0.4999999999999991,10.2
Paper Straw,Saturday,PKT,1911.0,16.666666666666668,20.0,-3.333333333333332,-16.67
Peanut Roasted,Monday,Kg,1900.0,10.0,13.333333333333334,-3.333333333333334,-25.0
Black Chana,Wednesday,Kg,1890.0,4.5,5.0,-0.5,-10.0
Jaggery Powder Sachet,Sunday,PKT,1890.0,30.0,26.666666666666668,3.333333333333332,12.5
Mixed Pickle 12 Gm,Monday,PCS,1881.6,600.0,500.0,100.0,20.0
Water Melon,Wednesday,Kg,1864.0,9.32,13.924999999999999,-4.604999999999999,-33.07
Coffee Cup Lid 250 Ml,Tuesday,PCS,1829.0,500.0,2000.0,-1500.0,-75.0
Tomato Puree,Wednesday,TIN,1827.84,24.0,14.0,10.0,71.43
Fresh Milk (tabela),Monday,LTR,1825.0,12.5,9.857142857142858,2.6428571428571423,26.81
Fresh Milk (tabela),Saturday,LTR,1825.0,12.5,9.285714285714285,3.2142857142857153,34.62
Fresh Milk (tabela),Tuesday,LTR,1825.0,25.0,10.0,15.0,150.0
Silver Container 450 Ml,Saturday,PKT,1790.8,2.3333333333333335,3.3333333333333335,-1.0,-30.0
Fresh Mushroom,Friday,Kg,1790.0,2.5,3.8307692307692305,-1.3307692307692305,-34.74
Tomato Puree,Thursday,TIN,1774.08,24.0,18.0,6.0,33.33
Peanut Roasted,Thursday,Kg,1747.2,4.0,8.857142857142856,-4.857142857142856,-54.84
Saffron (kesar),Saturday,PKT,1722.0,3.0,4.0,-1.0,-25.0
Haldi Powder,Wednesday,Kg,1701.0,6.0,7.0,-1.0,-14.29
Diet Coke,Thursday,CAN,1680.0,48.0,72.0,-24.0,-33.33
Milk Maid,Tuesday,TIN,1664.28,12.0,9.0,3.0,33.33
Broccoli,Friday,Kg,1657.5,2.125,3.153846153846154,-1.0288461538461542,-32.62
Thums Up,Monday,BTL,1650.002,72.0,96.0,-24.0,-25.0
Surmay Fish,Sunday,Kg,1650.0,3.0,3.933333333333333,-0.9333333333333331,-23.73
Water Melon,Tuesday,Kg,1648.0,13.733333333333333,9.258333333333333,4.475,48.33
Olive Oil Extra Virgin,Sunday,BTL,1635.754,2.0,1.0,1.0,100.0
Green Peas,Thursday,PKT,1615.0,3.4,2.833333333333333,0.5666666666666669,20.0
Caramel Syrup,Friday,BTL,1578.84,2.0,2.5,-0.5,-20.0
Coconut Syrup,Thursday,BTL,1578.84,2.0,1.0,1.0,100.0
Grenadine Syrup,Thursday,BTL,1578.84,2.0,3.0,-1.0,-33.33
Hazelnut Syrup,Friday,BTL,1578.84,2.0,7.0,-5.0,-71.43
Triple Sec,Thursday,BTL,1578.84,2.0,3.0,-1.0,-33.33
A4 Size Paper,Tuesday,RIM,1570.0,4.5,5.0,-0.5,-10.0
Mixed Pickle 12 Gm,Tuesday,PCS,1568.0,500.0,600.0,-100.0,-16.67
Small Crab Whole,Thursday,Kg,1567.5,5.7,4.3,1.4000000000000004,32.56
Chicken Tandoori,Wednesday,Kg,1560.0,2.1666666666666665,2.625,-0.4583333333333335,-17.46
Aquafina Water 500 Ml,Thursday,BTL,1559.995,240.0,480.0,-240.0,-50.0
Silver Foil,Sunday,PCS,1557.6,6.0,5.166666666666667,0.833333333333333,16.13
Coriander Leaves,Tuesday,Kg,1548.0,5.375,4.3076923076923075,1.0673076923076925,24.78
Capsicum,Saturday,Kg,1534.0,7.375,4.615384615384616,2.759615384615384,59.79
Capsicum,Thursday,Kg,1534.0,5.9,5.071428571428571,0.8285714285714292,16.34
Red Cherry,Monday,TIN,1531.152,6.0,4.0,2.0,50.0
Red Cherry,Thursday,TIN,1531.152,6.0,5.0,1.0,20.0
Dark Compound,Monday,Kg,1529.99,5.0,10.0,-5.0,-50.0
Tomato Ketchup,Wednesday,BTL,1519.459,18.0,21.0,-3.0,-14.29
Water Melon,Sunday,Kg,1488.0,9.3,12.461538461538462,-3.161538461538461,-25.37
Small Crab Whole,Tuesday,Kg,1485.0,5.4,6.3,-0.8999999999999995,-14.29
Coriander Leaves,Friday,Kg,1476.0,5.125,7.1923076923076925,-2.0673076923076925,-28.74
Pineapple Fruit,Tuesday,Kg,1464.0,6.1,4.199999999999999,1.9000000000000004,45.24
Potato Starch,Sunday,Kg,1453.806,6.0,5.0,1.0,20.0
Green Peas,Saturday,PKT,1425.0,2.5,3.5384615384615383,-1.0384615384615383,-29.35
Green Peas,Sunday,PKT,1425.0,3.75,3.2142857142857144,0.5357142857142856,16.67
Iceberg Lettuce,Monday,Kg,1425.0,2.375,1.375,1.0,72.73
M Fold Tissue,Friday,PKT,1416.0,40.0,54.285714285714285,-14.285714285714285,-26.32
M Fold Tissue,Monday,PKT,1416.0,40.0,80.0,-40.0,-50.0
M Fold Tissue,Sunday,PKT,1416.0,40.0,60.0,-20.0,-33.33
Malai Kulfi,Thursday,PCS,1416.0,20.0,25.0,-5.0,-20.0
Skull Cap,Sunday,PKT,1416.0,15.0,6.333333333333334,8.666666666666666,136.84
Water Melon,Friday,Kg,1412.0,8.825,11.245833333333334,-2.4208333333333343,-21.53
Water Melon,Thursday,Kg,1402.0,8.7625,9.75,-0.9875000000000007,-10.13
Coconut Big,Thursday,PCS,1400.0,20.0,17.166666666666668,2.833333333333332,16.5
Coconut Big,Monday,PCS,1365.0,13.0,15.0,-2.0,-13.33
Pineapple Fruit,Thursday,Kg,1356.0,5.65,6.71111111111111,-1.06111111111111,-15.81
Dolly Paper Big,Saturday,PKT,1332.8,8.5,10.0,-1.5,-15.0
Bell Papper Yellow,Sunday,Kg,1330.0,2.375,2.0384615384615383,0.3365384615384617,16.51
Bell Pepper Red,Sunday,Kg,1330.0,2.375,2.057692307692308,0.31730769230769207,15.42
Green Peas,Monday,PKT,1330.0,2.8,3.6250000000000004,-0.8250000000000006,-22.76
Khichiya Papad,Thursday,PKT,1330.0,5.0,2.0,3.0,150.0
Rich Whip Topping Cream,Wednesday,PKT,1325.091,3.0,2.0,1.0,50.0
Hrt Roll Big,Saturday,NOS,1321.6,4.0,6.0,-2.0,-33.33
Wonton Patta,Sunday,PKT,1320.0,4.0,3.5,0.5,14.29
Elaichi Bananas,Wednesday,Kg,1303.5,2.37,2.7875000000000005,-0.4175000000000004,-14.98
Eggs,Sunday,PCS,1300.0,200.0,162.5,37.5,23.08
Ghee Nandani,Monday,Kg,1300.0,2.0,11.0,-9.0,-81.82
Carrots,Tuesday,Kg,1280.0,8.0,14.192307692307692,-6.192307692307692,-43.63
Almond,Saturday,Kg,1276.8000000000002,0.75,1.5,-0.75,-50.0
