Restaurant_ID_z,Client_Sharing_Code_z,Identifier_z,Order_ID_z,Order_Status_z,Received_Time_z,Accepted_Time_z,Mark_Ready_Time_z,Rider_Arrival_Time_z,Picked_up_Time_z,Delivered_Time_z,Cancelled_Time_z,Prep_time_in_Minutes,Delivery_time_in_Minutes
126543.0,5ojxvbyp,,6248831670.0,Delivered,2024-10-07 19:51:43+00:00,2024-10-07 19:51:44+00:00,2024-10-07 20:04:59+00:00,2024-10-07 20:07:27+00:00,2024-10-07 20:08:13+00:00,2024-10-07 21:09:07+00:00,nan,13,64
126543.0,5ojxvbyp,,6271168689.0,Delivered,2024-10-16 12:22:22+00:00,2024-10-16 12:22:22+00:00,2024-10-16 12:32:18+00:00,2024-10-16 12:38:40+00:00,2024-10-16 12:40:06+00:00,2024-10-16 13:11:49+00:00,nan,9,39
126543.0,5ojxvbyp,,6263668131.0,Delivered,2024-10-12 23:06:14+00:00,2024-10-12 23:06:15+00:00,2024-10-12 23:17:55+00:00,2024-10-12 23:27:47+00:00,2024-10-12 23:29:23+00:00,2024-10-12 23:54:14+00:00,nan,11,36
126543.0,5ojxvbyp,,6265353922.0,Delivered,2024-10-14 12:31:49+00:00,2024-10-14 12:31:50+00:00,2024-10-14 12:43:56+00:00,2024-10-14 12:54:21+00:00,2024-10-14 12:55:20+00:00,2024-10-14 13:48:49+00:00,nan,12,64
126543.0,5ojxvbyp,,6244764414.0,Delivered,2024-10-07 13:41:48+00:00,2024-10-07 13:41:48+00:00,2024-10-07 13:56:11+00:00,2024-10-07 13:58:07+00:00,2024-10-07 13:59:04+00:00,2024-10-07 14:31:25+00:00,nan,14,35
126543.0,5ojxvbyp,,6272289441.0,Delivered,2024-10-15 21:08:39+00:00,2024-10-15 21:08:40+00:00,2024-10-15 21:18:03+00:00,2024-10-15 21:24:37+00:00,2024-10-15 21:25:50+00:00,2024-10-15 22:03:39+00:00,nan,9,45
126543.0,5ojxvbyp,,6257998714.0,Delivered,2024-10-11 19:24:07+00:00,2024-10-11 19:24:07+00:00,2024-10-11 19:33:33+00:00,2024-10-11 19:43:19+00:00,2024-10-11 19:43:53+00:00,2024-10-11 20:27:08+00:00,nan,9,53
126543.0,5ojxvbyp,,6228113383.0,Delivered,2024-10-11 14:42:47+00:00,2024-10-11 14:42:48+00:00,2024-10-11 14:54:50+00:00,2024-10-11 14:50:33+00:00,2024-10-11 14:55:28+00:00,2024-10-11 15:28:50+00:00,nan,12,34
126543.0,5ojxvbyp,,6261442382.0,Delivered,2024-10-13 13:10:24+00:00,2024-10-13 13:10:24+00:00,2024-10-13 13:25:04+00:00,2024-10-13 13:30:41+00:00,2024-10-13 13:32:29+00:00,2024-10-13 14:30:27+00:00,nan,14,65
126543.0,5ojxvbyp,,6236038867.0,Delivered,2024-10-05 20:27:09+00:00,2024-10-05 20:27:10+00:00,2024-10-05 20:33:37+00:00,2024-10-05 20:39:32+00:00,2024-10-05 20:40:07+00:00,2024-10-05 21:19:08+00:00,nan,6,45
126543.0,5ojxvbyp,,6259942836.0,Delivered,2024-10-12 19:49:42+00:00,2024-10-12 19:49:43+00:00,2024-10-12 19:58:05+00:00,2024-10-12 20:14:53+00:00,2024-10-12 20:15:20+00:00,2024-10-12 20:45:30+00:00,nan,8,47
126543.0,5ojxvbyp,,6261619658.0,Delivered,2024-10-13 19:36:09+00:00,2024-10-13 19:36:09+00:00,2024-10-13 19:49:33+00:00,2024-10-13 19:55:43+00:00,2024-10-13 19:57:40+00:00,2024-10-13 20:25:01+00:00,nan,13,35
126543.0,5ojxvbyp,,6223211012.0,Delivered,2024-10-01 19:06:43+00:00,2024-10-01 19:06:43+00:00,2024-10-01 19:16:56+00:00,2024-10-01 19:32:00+00:00,2024-10-01 19:34:11+00:00,2024-10-01 20:22:35+00:00,nan,10,65
