Raw_Material,Total_Amount,Total_Purchase_Quantity,Avg_Quantity,Standard_Deviation_Quantity
Chivas Regal 12 Yrs,7300.52,2.0,2.0,
Chocolate Ice Cream,1319.992,8.0,4.0,0.0
Chopsuey Noodles,2080.0,26.0,2.888888888888889,1.3642254619787415
Cinnamon (dalchini),357.0,1.0,0.5,0.0
Cling Foil,6903.0,15.0,5.0,1.0
Clorex,590.0,20.0,20.0,
Cocoa Powder,5694.1,5.0,5.0,
Coconut Big,5600.0,160.0,14.545454545454545,8.418594138734049
Coconut Dry,147.0,0.5,0.5,
Coconut Milk Powder,15622.356,24.0,12.0,0.0
Coconut Oil,3500.0,10.0,3.3333333333333335,0.5773502691896258
Coconut Syrup,789.42,1.0,1.0,
Coffee Cup 350 Ml,2537.0,500.0,500.0,
Coffee Cup Lid 250 Ml,1829.0,500.0,500.0,
Coffee Cup Lid 350 Ml,2212.0,500.0,500.0,
Coffee Cup Lid 450 Ml,2212.0,500.0,500.0,
Coffee Cups 250 Ml,2419.0,500.0,500.0,
Coriander Leaves,7920.0,110.0,6.470588235294118,1.5152411960981467
Corn Flour,1960.0,25.0,25.0,
Corona,8682.336,48.0,48.0,
Cranberry Juice,358.779,3.0,3.0,
Cream Cheese,5066.761,7.0,3.5,0.7071067811865476
Cucumber,8960.0,256.0,16.0,5.988878581726855
Curd Mother Dairy,29106.000000000007,280.0,17.5,7.284687135812125
Dalda,600.0,4.0,4.0,
Daliya,384.0,3.0,3.0,
Dark Chocolate 2.5kg,9800.02,10.0,10.0,
Dark Compound,1529.99,5.0,5.0,
Demerara Sugar 5 Gm,5443.2,18.0,18.0,
Dhaniya Powder,336.0,2.0,2.0,
Dhaniya Whole,735.0,5.0,1.6666666666666667,0.5773502691896258
Dhokla Atta,810.0,6.0,6.0,
Diet Coke,5880.0,168.0,56.0,13.856406460551018
Dolly Paper Big,1540.0,19.0,9.5,3.5355339059327378
Dolly Paper Small,2648.0,40.0,13.333333333333334,5.773502691896258
Drum Stick,570.0,6.0,1.2,0.5700877125495689
Dukes Soda,2880.002,360.0,180.0,84.8528137423857
Ech House Blend,43155.0,48.0,24.0,8.48528137423857
Edible Flower,160.0,1.0,1.0,
Eggs,14300.0,2200.0,219.99999999999997,58.68938953886338
Elaichi Bananas,4031.5,36.650000000000006,2.443333333333334,0.6823977334858804
Envelope,1000.0,10.0,10.0,
Everyday Milk Powder,1150.738,2.0,2.0,
Falooda,260.0,4.0,4.0,
Flat Noodles,110.0,1.0,1.0,
Floor Duster,504.0,48.0,16.0,6.928203230275509
Frappe Powder,70632.344,72.0,18.0,15.340577998671801
French Fries 9mm,1572.268,4.0,1.3333333333333333,0.5773502691896258
French Lettuce Green,495.0,2.75,0.39285714285714285,0.1336306209562122
French Lettuce Red,270.0,1.5,0.25,0.0
Fresh Basil,1092.0,6.5,0.6499999999999999,0.41163630117428235
Fresh Beans,13392.0,186.0,11.625,4.224926034855522
Fresh Milk (tabela),4380.0,60.0,12.0,6.708203932499369
Fresh Mushroom,13281.800000000001,74.2,4.364705882352942,2.537947294682897
Fresh Red Chilly,1105.0,8.5,0.5,0.0
Frut Overload Ice Cream,720.0,4.0,4.0,
Fuel Tin,1699.2,72.0,72.0,
Galangal Thai,68.25,0.25,0.25,
Garam Masala,966.0,2.0,2.0,
Garbage Bags,5900.0,50.0,25.0,0.0
Garbage Bags Medium,991.2,12.0,12.0,
Garbage Bags Small,1947.0,33.0,11.0,1.7320508075688772
Garlic Whole,2280.0,6.0,3.0,0.0
Ghati Masala,198.0,0.6,0.6,
Ghee Nandani,35855.352,60.0,12.0,0.0
Ginger,2590.0,35.0,2.058823529411765,1.0403177540596742
Ginger Ale,2405.5969999999998,48.0,24.0,0.0
Green Chilly,2764.5,48.5,2.8529411764705883,0.9481018188061497
Green Corn,1254.0,24.0,24.0,
Green Curry Paste,381.45,1.0,1.0,
Green Elaichi,1522.5,0.5,0.5,
Green Garlic,200.0,0.4,0.4,
Green Lemon,675.0,9.0,4.5,0.7071067811865476
Green Peas,5225.0,55.0,3.2352941176470593,0.5622957145383871
Green Peppercorn,498.0,2.0,2.0,
Green Vatana,2040.0,10.0,10.0,
Green Zucchini,1566.0,13.5,0.9642857142857142,0.5358058529802675
Grenadine Syrup,691.48,1.0,1.0,
Grey Goose Vodka,4798.61,1.0,1.0,
Haldi Powder,3969.0,14.0,4.666666666666667,1.5275252316519468
Hand Gloves Plastic,590.0,10.0,10.0,
Hand Gloves Surgical,1008.0,3.0,3.0,
Hand Wash 5 Ltr,5841.0,6.0,6.0,
Hariyali Mawa,346.5,1.0,1.0,
Hazelnut Syrup,6315.36,8.0,2.6666666666666665,1.1547005383792517
Hazelut,1000.0,0.5,0.5,
Heineken,3475.296,24.0,24.0,
Hendricks,4620.69,1.0,1.0,
Hing Powder,1648.5,10.0,5.0,1.4142135623730951
Hoisin Sauce,523.083,3.0,3.0,
Honey 15 Gm,1113.0,200.0,200.0,
Hrt Roll Big,1321.6,4.0,4.0,
Ice,10360.0,1480.0,87.05882352941177,9.024069122597176
Iceberg Lettuce,1875.0,12.5,1.388888888888889,1.0540925533894598
Icing Sugar,1008.0,10.0,10.0,
Idli Rava,260.0,5.0,5.0,
Idli Wada,1560.0,40.0,8.0,0.0
Imli,560.0,4.0,2.0,0.0
Irish Syrup,1578.84,2.0,2.0,
Italian Lemon,144.0,0.3,0.3,
J W Black Label,7291.56,2.0,2.0,
J W Double Black,9479.3,2.0,1.0,0.0
J W Red Label,4101.52,2.0,2.0,
Jacobs Creek Cabernet Shiraz,4325.49,3.0,3.0,
Jaggery Powder Sachet,1890.0,30.0,30.0,
Jalepenos Slice,264.756,1.0,1.0,
Japanese Cucumber,200.0,1.5,0.75,0.3535533905932738
Javantry,1522.5,0.5,0.25,0.0
Jeera Whole,5145.0,14.0,7.0,1.4142135623730951
Kabuli Chana,4875.0,25.0,8.333333333333334,2.886751345948129
Kaju Tukda,46462.5,45.0,15.0,0.0
Kaju Whole,2131.5,2.0,0.6666666666666666,0.2886751345948129
Kalonji,84.0,0.25,0.25,
Karela,400.0,5.0,1.25,0.5
Kashmiri Chilli,22176.0,48.0,16.0,1.7320508075688772
Kashmiri Chilli Powder,8085.0,14.0,4.666666666666667,1.5275252316519468
Kasuri Methi,1890.0,20.0,10.0,0.0
Kesar Pista Ice Cream,357.0,0.5,0.5,
Kewra Water,197.002,5.0,5.0,
Khajur,728.0,5.0,2.5,0.7071067811865476
Khas Khas,756.0,0.5,0.5,
Khichiya Papad,1330.0,10.0,5.0,1.4142135623730951
Khichu Masala,600.0,1.0,1.0,
Kingfisher Strong,5214.576,48.0,48.0,
Kirana Bag,1180.0,5.0,2.5,0.7071067811865476
Kishmish,945.0,3.0,1.0,0.0
Kitchen King,4477.92,12.0,6.0,0.0
Kokam Syrup,190.4,2.0,2.0,
Kokum,630.0,2.0,1.0,0.0
Lady Finger,506.0,11.0,1.375,0.5175491695067657
Lapsi,156.0,3.0,3.0,
Leeks,84.0,0.5,0.5,
Legacy Premium,7.0,1.0,1.0,
Lemon,10725.0,143.0,8.411764705882353,2.9592825044555093
Lemon Grass,126.0,1.0,0.5,0.0
Lemon Iced Tea Syrup,789.42,1.0,1.0,
Lemon Leaves,336.0,0.4,0.1,0.0
Lemon Pickle,2000.0,20.0,10.0,0.0
Liquid Soup,7268.8,385.0,192.5,24.748737341529164
Litchi Crush,207.2,1.0,1.0,
Lotus Root,90.0,0.5,0.5,
Lunch Box Big,11505.0,1500.0,1500.0,
M Fold Tissue,4956.0,140.0,46.666666666666664,11.547005383792516
Macarons,7875.0,252.0,252.0,
Macro Green,160.0,1.0,1.0,
Madagascar Chocolate,68735.0,10.0,1.4285714285714286,0.7867957924694432
Maggi Seasoning Sauce,660.003,3.0,3.0,
Maida,19800.0,450.0,150.0,0.0
Malai Kulfi,4602.0,130.0,26.0,5.477225575051662
Malai Paneer,75020.0,242.0,10.521739130434781,4.143665101610929
Mango Pickle,3600.0,30.0,15.0,0.0
Marker,280.0,12.0,12.0,
Masoor Dal,8640.0,90.0,30.0,0.0
Meat Masala,361.2,4.0,4.0,
Medium Prawns,7535.0,13.700000000000001,2.283333333333333,0.5231315959361149
Methi (w),63.0,0.5,0.5,
Methi Fresh,1368.0,28.5,1.9,0.7837638128197258
Milk 3 Fat,31080.0,555.0,26.428571428571427,15.422617898954211
Milk Maid,4160.16,30.0,10.0,3.4641016151377544
Millennium Kulfi,566.4,12.0,12.0,
Mint Leaves,1087.5,21.75,1.2794117647058822,0.48317272517490184
Mix Fruit Jam 15 Gm,364.0,100.0,100.0,
Mixed Fruit Jam 1 Kg,246.4,2.0,2.0,
Mixed Pickle 12 Gm,1568.0,500.0,500.0,
Mojito Mint Syrup,789.42,1.0,1.0,
Monkey Shoulder,4521.11,1.0,1.0,
Moong Dal,4550.0,35.0,17.5,17.67766952966369
Mop Clip,2761.2,6.0,6.0,
Mop Refill,1510.4,16.0,4.0,1.632993161855452
Muskmelon,1302.0,18.6,2.0666666666666664,0.6461423991660042
Mustard Oil,1350.03,6.0,6.0,
Mutton Big Raan,45540.0,75.9,6.9,3.0136356780473643
Napthalene Ball Colour,590.0,5.0,5.0,
Nature Jaggery,785.4000000000001,11.0,3.6666666666666665,0.5773502691896258
Ness Coffee,6032.04,4.0,2.0,0.0
Note Book,268.0,8.0,8.0,
Nutella Sauce,7773.84,9.0,3.0,0.0
Oat Milk,5031.0,14.4,14.4,
Olive Oil Extra Virgin,1635.754,2.0,2.0,
Olives Black Pitted Kitchen,1351.728,3.0,1.5,0.7071067811865476
Olives Black Slice Imp,152.756,1.0,1.0,
Onion,53545.0,890.0,52.352941176470594,13.747459658381382
Orange,2160.0,12.0,12.0,
Orange Imp,34488.0,191.6,11.974999999999998,3.616904754068042
Orange Marmalade 15gm,375.2,100.0,100.0,
Oregano Dry,210.0,1.0,1.0,
Oreo Biscuit,2100.0,210.0,26.25,11.877349391654208
Pan Pasand Ice Cream,357.0,0.5,0.5,
Papad Big,10800.0,30.0,10.0,0.0
Papaya,1188.0,29.700000000000003,2.2846153846153845,0.7264022690013134
Paper Bag Big,8348.5,950.0,475.0,35.35533905932738
Paper Bag Small,18585.0,2500.0,625.0,250.0
Paper Straw,2255.2,62.0,12.4,4.335896677735761
Parsley Leaves,300.3,1.0999999999999999,0.18333333333333335,0.040824829046386304
Peach Syrup,789.42,1.0,1.0,
Peanut Raw,306.6,2.0,1.0,0.0
Peanut Roasted,6934.000000000001,35.0,7.0,5.385164807134505
Pears Fruit,220.0,1.0,1.0,
Peel Garlic,59760.0,166.0,11.066666666666666,1.9444671200491876
Pen,100.0,20.0,20.0,
Penne Pasta,412.652,4.0,4.0,
Pepsi,816.004,48.0,24.0,0.0
Phulka Atta,350.0,5.0,5.0,
Pillsbury Chocolate Flavour Mix,985.91,5.0,5.0,
Pineapple Fruit,6774.0,56.449999999999996,5.6450000000000005,2.022161934388265
Pineapple Slice,390.768,4.0,4.0,
Piping Bag,900.0,10.0,10.0,
Pista,2128.0,1.0,1.0,
Pitambari,1585.92,48.0,24.0,0.0
Plain Noodles,151.468,6.0,6.0,
Plastic Cont With Lid 1000 Ml Rect,743.4,2.0,2.0,
Plastic Cont With Lid 250 Ml Rnd,5310.0,20.0,20.0,
Plastic Cont With Lid 30 Ml,590.0,10.0,10.0,
Plastic Cont With Lid 450 Ml Rnd,5380.8,16.0,16.0,
Plastic Cont With Lid 50 Ml,1121.0,10.0,10.0,
Plastic Cont With Lid 750 Ml Rect,2035.5,6.0,6.0,
Plum Sauce,346.124,2.0,2.0,
Poha,2790.0,45.0,15.0,0.0
Pok Choy,1624.0,14.0,0.8235294117647058,0.3509441048171095
Pomegranate (anar),680.0,3.5,0.875,0.25
Pomfret,49500.0,39.6,4.4,1.4517231140957976
Potato,11970.0,315.0,18.529411764705884,5.980360012771216
Potato Starch,5558.862,23.0,5.75,0.49999999999999994
Prawns Frozen 70/80,3240.03,6.0,6.0,
Quarter Plate,4838.4,48.0,48.0,
Raddish,425.0,12.5,3.125,0.6291528696058958
Ragi Atta,190.0,2.0,2.0,
Rai,446.25,5.0,2.5,0.7071067811865476
Rajma Chitra,1840.0,11.0,3.6666666666666665,2.3094010767585034
Rawas Fish,7370.0,13.399999999999999,3.35,1.3228756555322954
Red Cabbage,476.0,4.0,1.0,0.408248290463863
Red Cherry,4603.2,18.0,6.0,0.0
Red Pumpkin,378.0,14.0,3.5,3.0
Red Romaine Lettuce,90.0,0.5,0.5,
Refind Oil,65174.145000000004,493.0,41.08333333333333,11.766349038549286
Reva R1,1602.912,3.0,3.0,
Reva R2,2137.216,4.0,4.0,
Reva R5,4906.44,6.0,6.0,
Reva R6,836.384,2.0,2.0,
Reva-m Det,7080.0,2.0,2.0,
Reva-m Rinse,3540.0,1.0,1.0,
Rice Atta,275.0,5.0,5.0,
Rich Cooking Cream,1277.6580000000001,6.0,3.0,1.4142135623730951
Rich Whip Topping Cream,3533.578,8.0,2.6666666666666665,0.5773502691896258
Rigatoni Pasta,112.156,1.0,1.0,
Roasted Almond Slice Kulfi,991.2,20.0,10.0,0.0
Rose Water,189.45,5.0,5.0,
Royal Challenge,1423.322,2.0,2.0,
Sabudana,450.0,5.0,5.0,
Sada Mawa,1008.0,3.0,0.6,0.223606797749979
Salt Sachet,115.0,1.0,1.0,
Salt Tata,4200.0,150.0,50.0,0.0
Salt Whole,50.0,2.0,2.0,
Sambal Oleal Sauce,894.99,5.0,5.0,
Sarso Ka Sag,173.578,3.0,3.0,
Sesame Oil,308.154,1.0,1.0,
Sev,1200.0,5.0,5.0,
Sevai,316.0,8.0,2.6666666666666665,1.1547005383792517
Shao Hsing Vinegar,324.5,1.0,1.0,
Sheera Rava,1920.0,40.0,13.333333333333334,2.886751345948129
Shiitake Mushroom,1233.68,1.0,1.0,
Silver Container 450 Ml,2866.0,11.0,2.75,0.957427107756338
Silver Container 750 Ml,755.2,2.0,2.0,
Silver Foil,6088.799999999999,22.0,5.5,1.0
Singleton,5423.46,1.0,1.0,
Skull Cap,2360.0,25.0,12.5,3.5355339059327378
Small Brinjel,320.0,4.0,1.0,0.0
Small Crab Whole,1485.0,5.4,5.4,
Smirnoff,4266.75,3.0,3.0,
Snow Peas,1312.5,1.25,0.25,0.0
Soya Sauce Llk,4783.032,24.0,12.0,0.0
Soya Sauce Sing Cheung,426.944,6.0,6.0,
Spicy Banana Chips (red),25600.0,80.0,10.0,0.0
Spicy Banana Chips Standup Pouches,13570.0,500.0,500.0,
Spinach,6864.0,176.0,10.352941176470589,4.122213854086604
Spring Onion,2525.0,50.5,2.9705882352941178,0.5440182739145268
Spring Sesame Oil,543.712,1.0,1.0,
Squid,1720.0,4.3,2.15,0.21213203435596414
Staff Rice,21600.0,450.0,150.0,0.0
Staff Veg,9600.0,240.0,15.0,0.0
Star Fool,840.0,1.0,0.5,0.0
Steam Noodles,1760.0,22.0,2.4444444444444446,0.8819171036881968
Steel Scrubber,1090.32,96.0,24.0,9.797958971132712
Strawberry Crush,828.8,4.0,4.0,
Strawberry Filling,680.176,2.0,2.0,
Sugar,6900.0,150.0,50.0,0.0
Sugar 5 Gm,1890.0,10.0,10.0,
Surang,80.0,1.0,1.0,
Surmay Fish,3740.0,6.8,3.4,0.8485281374238571
Sweet Chilly Sauce,238.392,1.0,1.0,
Sweet Corn Cream,1042.562,14.0,7.0,1.4142135623730951
Sweet Lemon,728.0,9.1,4.55,2.899137802864845
Sweet Potato,690.0,5.0,1.6666666666666667,0.5773502691896258
Sweet Soda,82.6,1.0,1.0,
Tabasco Sauce,1085.82,6.0,6.0,
Tamma Kaapi,12390.0,100.0,100.0,
Tanqueray Gin,2552.24,1.0,1.0,
Tea Darjeeling,999.0,1.0,1.0,
Tea Powder,11400.0,20.0,10.0,0.0
Tej Patta,68.25,0.5,0.5,
Teriyaki Sauce,443.184,2.0,2.0,
The Glenlivet 12 Years,16429.510000000002,3.0,1.5,0.7071067811865476
Thums Up,5500.007,240.0,80.0,13.856406460551018
Tiger Prawns,25630.0,23.299999999999997,3.8833333333333333,1.2921558213569548
Tissue Paper Ettarra,6844.0,100.0,100.0,
Tissue Paper Melting Pot,6844.0,100.0,100.0,
Tissue Paper Ten One,3422.0,50.0,50.0,
Tofu,390.0,1.5,0.75,0.3535533905932738
Toilet Roll,4602.0,130.0,43.333333333333336,5.773502691896258
Tomato Ketchup,4056.4169999999995,48.0,16.0,3.4641016151377544
Tomato Ketchup Sachet,377.194,5.0,5.0,
Tomato Puree,1774.08,24.0,24.0,
Tomatos,21600.0,540.0,31.764705882352935,10.298843453057641
Tonic Water,2405.5969999999998,48.0,24.0,0.0
Toor Dal,16200.0,90.0,30.0,0.0
Tooth Pick 500 Pc,1232.0,10.0,10.0,
Tooth Pick Taj,537.6,3.0,3.0,
Tortilla Bread,975.0,5.0,5.0,
Ukda Rice Brown,296.0,3.7,3.7,
Urine Mat,377.6,4.0,4.0,
Vanilla Md Ice Cream,5033.76,36.0,7.2,1.7888543819998317
Vanilla Syrup,3157.68,4.0,2.0,0.0
Veg Mayonnaise,733.644,8.0,8.0,
Veg Oyester Sauce,2124.996,12.0,12.0,
Vermicelli Noodle,204.0,4.0,4.0,
Wafer Chips,920.0,4.0,2.0,0.0
Wafer Potatos,10580.0,230.0,15.333333333333332,8.251983888449983
Water Chestnuts,2410.608,24.0,12.0,0.0
Water Melon,6290.0,157.25,9.828125,2.2544747170904356
White Compound,1870.005,5.0,5.0,
White Pepper Powder,1680.0,7.0,2.333333333333333,1.5275252316519468
White Phenyle,958.1600000000001,29.0,9.666666666666668,4.041451884327381
White Pumpkin,456.0,12.0,6.0,0.0
White Urad Dal,5460.0,30.0,30.0,
White Vinegar,417.296,12.0,6.0,0.0
Wiper,1132.8,3.0,3.0,
Wonton Patta,2970.0,27.0,3.0,1.224744871391589
Wooden Fork,667.408,10.0,10.0,
Wooden Spoon,1513.568,20.0,10.0,0.0
Worcestershire Sauce (chinese),362.88,3.0,3.0,
Yeast,1750.0,5.0,5.0,
Yellow Banana Chips,31540.0,83.0,10.375,1.0606601717798214
Yellow Banana Chips Standup Pouches,13570.0,500.0,500.0,
Yellow Tail Chardonnay,5934.36,3.0,3.0,
Yellow Wonton Patta,150.0,1.0,1.0,
Yellow Zucchini,1334.0,11.5,0.8214285714285714,0.4643913658320326
