Date,Item_Name,Qty_,Timestamp,Category,Raw_Material,Unit,Qty,converted_qty,Purchase_Unit,Consumption_Unit,Conversion_Qty
2024-06-12,TEA,1.0,2024-06-12 19:09:55+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-26,TEA,1.0,2024-03-26 18:02:06+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-09-08,TEA,1.0,2023-09-08 17:37:12+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-04-05,TEA,1.0,2024-04-05 19:27:21+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-16,TEA,1.0,2024-07-16 18:22:48+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-08-18,TEA,1.0,2024-08-18 18:58:23+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-22,TEA,1.0,2024-07-22 18:16:31+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-17,TEA,1.0,2024-07-17 23:48:22+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-29,TEA,1.0,2024-03-29 19:31:58+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-08-19,TEA,1.0,2024-08-19 19:37:11+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-10-18,TEA,4.0,2023-10-18 17:51:17+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-10-18,TEA,1.0,2023-10-18 17:51:17+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-12,TEA,1.0,2024-07-12 16:07:42+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-10-03,TEA,1.0,2024-10-03 19:32:29+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-08-29,TEA,1.0,2024-08-29 20:59:26+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-14,TEA,1.0,2024-05-14 18:40:55+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-12-22,TEA,1.0,2023-12-22 21:43:43+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-02-11,TEA,2.0,2024-02-11 22:35:58+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-06-17,TEA,1.0,2024-06-17 19:15:59+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-04-09,TEA,2.0,2024-04-09 19:42:40+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-06-10,TEA,1.0,2024-06-10 19:00:56+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-07-02,TEA,0.5,2024-07-02 13:21:20+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-05-14,TEA,1.0,2024-05-14 18:40:55+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2023-10-22,TEA,1.0,2023-10-22 23:13:26+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-05-31,TEA,1.0,2024-05-31 19:10:36+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-04-04,TEA,1.0,2024-04-04 19:38:56+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-08-30,TEA,1.0,2024-08-30 17:27:34+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-09-23,TEA,5.0,2024-09-24 00:35:23+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-07-25,TEA,1.0,2024-07-25 18:31:22+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-05-30,TEA,1.0,2024-05-30 18:41:56+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2023-09-08,TEA,1.0,2023-09-08 17:37:12+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-08-31,TEA,1.0,2024-08-31 19:15:29+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-08-08,TEA,2.0,2024-08-08 19:11:42+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-02-28,TEA,1.0,2024-02-28 22:25:46+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-08-21,TEA,1.0,2024-08-21 20:35:15+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-08-02,TEA,1.0,2024-08-02 19:36:00+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-06-30,TEA,1.0,2024-07-01 01:13:35+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-04-09,TEA,1.0,2024-04-09 19:44:51+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-07-28,TEA,1.0,2024-07-28 18:27:44+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-05-25,TEA,1.0,2024-05-25 18:40:00+00:00,PANTRY,Ginger,GM,10.0,0.01,Kg,GM,1000
2024-04-03,TEA,1.0,2024-04-03 20:46:03+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-05-16,TEA,1.0,2024-05-16 19:25:08+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-07-10,TEA,1.0,2024-07-10 13:51:09+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2023-12-29,TEA,3.0,2023-12-30 00:09:30+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-10-13,TEA,3.0,2024-10-13 13:01:14+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-05-30,TEA,1.0,2024-05-30 18:41:56+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-07-01,TEA,1.0,2024-07-01 18:37:35+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-06-16,TEA,1.0,2024-06-16 11:56:08+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-01-05,TEA,2.0,2024-01-05 14:03:40+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-03-08,TEA,0.5,2024-03-08 14:02:24+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2023-11-07,TEA,1.0,2023-11-07 19:52:53+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-06-07,TEA,1.0,2024-06-07 19:18:08+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-09-13,TEA,1.0,2024-09-13 19:01:39+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2023-07-30,TEA,2.0,2023-07-30 22:24:43+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-08-02,TEA,1.0,2024-08-02 19:36:00+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-07-25,TEA,1.0,2024-07-25 18:31:22+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-06-26,TEA,1.0,2024-06-26 22:55:35+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-04-20,TEA,2.0,2024-04-20 19:17:50+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2023-07-19,TEA,2.0,2023-07-19 13:42:32+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-06-09,TEA,2.0,2024-06-10 00:08:16+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-09-21,TEA,2.0,2024-09-21 18:23:22+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2023-08-16,TEA,1.0,2023-08-16 15:07:44+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-06-28,TEA,1.0,2024-06-28 19:03:09+00:00,PANTRY,Milk 3 Fat,ML,50.0,0.1,PKT,ML,500
2024-08-30,TEA,1.0,2024-08-30 17:27:34+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2023-11-22,TEA,4.0,2023-11-22 22:12:48+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-05-22,TEA,1.0,2024-05-22 14:35:26+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-03-21,TEA,2.0,2024-03-21 19:37:25+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-10-10,TEA,1.0,2024-10-10 16:16:43+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-05-08,TEA,1.0,2024-05-08 19:03:09+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-05-14,TEA,2.0,2024-05-14 19:48:42+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-06-13,TEA,1.0,2024-06-13 19:06:09+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-09-01,TEA,8.0,2024-09-01 16:22:53+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-08-05,TEA,1.0,2024-08-05 18:28:24+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-06-08,TEA,1.0,2024-06-08 19:30:40+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-09-08,TEA,1.0,2024-09-08 19:15:26+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-04-03,TEA,1.0,2024-04-03 20:46:03+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-05-31,TEA,1.0,2024-05-31 19:10:36+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-08-29,TEA,2.0,2024-08-29 15:22:46+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2023-12-25,TEA,1.0,2023-12-25 21:14:44+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-08-22,TEA,1.0,2024-08-22 12:49:03+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-10-10,TEA,1.0,2024-10-10 23:19:15+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-02-03,TEA,1.0,2024-02-04 00:06:55+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-02-09,TEA,1.0,2024-02-09 19:21:14+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-03-12,TEA,1.0,2024-03-12 13:46:08+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2023-09-30,TEA,1.0,2023-09-30 19:01:07+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-04-20,TEA,1.0,2024-04-20 14:17:27+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-09-16,TEA,1.0,2024-09-16 20:45:32+00:00,PANTRY,TEA POWDER,GM,10.0,0.01,Kg,GM,1000
2024-07-10,TEA,1.0,2024-07-10 13:51:09+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-07-17,TEA,1.0,2024-07-17 22:08:39+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-07-20,TEA,4.0,2024-07-20 18:53:08+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-08-25,TEA,1.0,2024-08-25 18:59:08+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2023-10-07,TEA,1.0,2023-10-07 22:27:52+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-06-09,TEA,1.0,2024-06-09 19:19:44+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-08-02,TEA,1.0,2024-08-02 19:36:00+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-03-21,TEA,2.0,2024-03-21 19:37:25+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2023-12-20,TEA,1.0,2023-12-20 20:05:22+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-04-04,TEA,1.0,2024-04-04 19:38:56+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-04-20,TEA,2.0,2024-04-20 19:17:50+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-04-08,TEA,2.0,2024-04-08 12:27:42+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2023-07-25,TEA,1.0,2023-07-25 15:49:23+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-03-16,TEA,1.0,2024-03-16 15:13:29+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-09-13,TEA,1.0,2024-09-13 19:01:39+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-06-08,TEA,1.0,2024-06-08 19:30:40+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-07-03,TEA,1.0,2024-07-03 18:52:15+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-07-31,TEA,2.0,2024-07-31 18:42:14+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-09-14,TEA,1.0,2024-09-14 16:25:34+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2023-11-29,TEA,3.0,2023-11-29 16:05:02+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2023-07-16,TEA,1.0,2023-07-16 19:41:57+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-07-08,TEA,1.0,2024-07-08 19:24:33+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-07-11,TEA,1.0,2024-07-11 18:36:29+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-05-31,TEA,1.0,2024-05-31 19:10:36+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-08-11,TEA,1.0,2024-08-11 19:31:56+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-07-11,TEA,1.0,2024-07-11 18:36:29+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-06-06,TEA,2.0,2024-06-07 00:03:57+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-09-04,TEA,1.0,2024-09-04 21:10:49+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-06-15,TEA,1.0,2024-06-15 18:58:35+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-09-02,TEA,1.0,2024-09-02 18:37:45+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-06-07,TEA,1.0,2024-06-07 19:18:08+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-06-06,TEA,2.0,2024-06-06 19:16:16+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-04-29,TEA,3.0,2024-04-29 19:24:22+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-08-18,TEA,1.0,2024-08-18 18:58:23+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-04-19,TEA,2.0,2024-04-19 19:27:26+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-09-16,TEA,1.0,2024-09-16 20:45:32+00:00,PANTRY,Green Elaichi,GM,4.0,0.004,Kg,GM,1000
2024-03-07,Naan,1.0,2024-03-07 20:44:35+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-06-16,Naan,1.0,2024-06-16 22:26:41+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-09-01,Naan,2.0,2024-09-01 20:20:55+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-12-31,Naan,1.0,2023-12-31 20:47:15+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-07-23,Naan,1.0,2023-07-23 20:44:42+00:00,INDIAN BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-10-02,Naan,1.0,2023-10-02 23:50:18+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-09-23,Naan,3.0,2023-09-23 14:47:02+00:00,INDIAN BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-06-02,Naan,1.0,2024-06-02 14:24:28+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-03-01,Naan,2.0,2024-03-01 22:48:05+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-10-17,Naan,3.0,2023-10-18 00:42:07+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-05-06,Naan,1.0,2024-05-06 22:02:35+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-11-28,Naan,2.0,2023-11-28 23:27:11+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-03-02,Naan,1.0,2024-03-02 23:39:28+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-11-22,Naan,1.0,2023-11-22 22:56:13+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-10-26,Naan,1.0,2023-10-26 15:03:24+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-02-11,Naan,1.0,2024-02-11 14:57:07+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-10-14,Naan,1.0,2023-10-14 19:20:20+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-04-09,Naan,1.0,2024-04-09 22:20:33+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-04-19,Naan,1.0,2024-04-19 23:46:15+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-10-31,Naan,6.0,2023-10-31 22:24:40+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-05-17,Naan,1.0,2024-05-18 00:42:12+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-07-30,Naan,1.0,2023-07-30 23:20:37+00:00,INDIAN BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-12-30,Naan,1.0,2023-12-30 20:29:18+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-08-23,Naan,1.0,2023-08-23 23:03:07+00:00,INDIAN BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-02-19,Naan,1.0,2024-02-19 21:33:00+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-07-30,Naan,1.0,2024-07-30 14:48:56+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-07-27,Naan,1.0,2024-07-27 23:15:31+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-07-22,Naan,1.0,2023-07-22 22:41:39+00:00,INDIAN BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-06-16,Naan,1.0,2024-06-16 22:00:47+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-11-14,Naan,1.0,2023-11-15 00:49:13+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-08-12,Naan,5.0,2024-08-12 16:18:53+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-01-05,Naan,5.0,2024-01-06 00:25:21+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-10-24,Naan,1.0,2023-10-24 22:55:59+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-03-07,Naan,1.0,2024-03-07 20:44:35+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-03-10,Naan,2.0,2024-03-10 14:28:12+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-09-01,Naan,4.0,2024-09-01 16:19:26+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-08-11,Naan,1.0,2023-08-11 21:18:29+00:00,INDIAN BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-07-16,Naan,2.0,2023-07-16 22:25:36+00:00,INDIAN BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2024-05-05,Naan,4.0,2024-05-06 00:33:48+00:00,TANDOOR BREADS,Eggs,GM,20.0,20.0,PCS,PCS,1
2023-12-09,Naan,1.0,2023-12-09 22:34:01+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-10-05,Naan,1.0,2023-10-05 21:01:06+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-03-06,Naan,2.0,2024-03-06 13:54:41+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-07-03,Naan,1.0,2024-07-03 15:59:30+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-11-17,Naan,1.0,2023-11-17 22:00:42+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-12-28,Naan,1.0,2023-12-28 21:27:57+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-01-06,Naan,2.0,2024-01-06 21:03:13+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-03-10,Naan,2.0,2024-03-10 14:28:12+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-08-09,Naan,5.0,2024-08-10 01:11:59+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-10-01,Naan,1.0,2023-10-01 20:00:18+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-01-22,Naan,1.0,2024-01-22 21:06:32+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-07-12,Naan,1.0,2023-07-12 20:45:41+00:00,INDIAN BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-12-13,Naan,1.0,2023-12-13 15:00:54+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-08-28,Naan,1.0,2023-08-28 22:05:12+00:00,INDIAN BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-11-07,Naan,1.0,2023-11-07 21:00:45+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-06-05,Naan,1.0,2024-06-05 23:32:33+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-08-29,Naan,2.0,2024-08-30 00:42:33+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-11-15,Naan,1.0,2023-11-15 19:52:46+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-09-14,Naan,1.0,2024-09-14 14:48:18+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-11-12,Naan,1.0,2023-11-12 14:36:26+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-10-01,Naan,1.0,2023-10-01 23:02:03+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-08-13,Naan,1.0,2023-08-14 00:48:08+00:00,INDIAN BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-04-09,Naan,1.0,2024-04-09 22:20:33+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-10-17,Naan,4.0,2023-10-18 00:42:07+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2024-02-25,Naan,1.0,2024-02-25 22:26:01+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
2023-10-21,Naan,1.0,2023-10-21 22:57:37+00:00,TANDOOR BREADS,Maida,GM,150.0,0.15,Kg,GM,1000
